All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                        assembly     
# contigs (>= 0 bp)             9            
# contigs (>= 1000 bp)          9            
# contigs (>= 5000 bp)          6            
# contigs (>= 10000 bp)         4            
# contigs (>= 25000 bp)         3            
# contigs (>= 50000 bp)         3            
Total length (>= 0 bp)          5417112      
Total length (>= 1000 bp)       5417112      
Total length (>= 5000 bp)       5408550      
Total length (>= 10000 bp)      5394624      
Total length (>= 25000 bp)      5384053      
Total length (>= 50000 bp)      5384053      
# contigs                       9            
Largest contig                  5235325      
Total length                    5417112      
GC (%)                          43.46        
N50                             5235325      
N90                             5235325      
auN                             5061730.2    
L50                             1            
L90                             1            
# N's per 100 kbp               0.00         
# predicted genes (unique)      2841         
# predicted genes (>= 0 bp)     2854 + 0 part
# predicted genes (>= 300 bp)   2775 + 0 part
# predicted genes (>= 1500 bp)  982 + 0 part 
# predicted genes (>= 3000 bp)  245 + 0 part 
# predicted rRNA genes          18 + 0 part  
