All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                        assembly     
# contigs (>= 0 bp)             21           
# contigs (>= 1000 bp)          21           
# contigs (>= 5000 bp)          21           
# contigs (>= 10000 bp)         8            
# contigs (>= 25000 bp)         5            
# contigs (>= 50000 bp)         5            
Total length (>= 0 bp)          5532255      
Total length (>= 1000 bp)       5532255      
Total length (>= 5000 bp)       5532255      
Total length (>= 10000 bp)      5425530      
Total length (>= 25000 bp)      5391608      
Total length (>= 50000 bp)      5391608      
# contigs                       21           
Largest contig                  3647662      
Total length                    5532255      
GC (%)                          43.21        
N50                             3647662      
N90                             273338       
auN                             2679597.1    
L50                             1            
L90                             3            
# N's per 100 kbp               0.00         
# predicted genes (unique)      3977         
# predicted genes (>= 0 bp)     3978 + 0 part
# predicted genes (>= 300 bp)   3384 + 0 part
# predicted genes (>= 1500 bp)  438 + 0 part 
# predicted genes (>= 3000 bp)  54 + 0 part  
# predicted rRNA genes          18 + 0 part  
