seq_name	chromosome_score	plasmid_score	virus_score
1	0.8417	0.1124	0.0459
2	0.0050	0.9854	0.0095
3	0.8441	0.1056	0.0502
4	0.6968	0.1814	0.1218
5	0.0016	0.9936	0.0049
6	0.0011	0.9952	0.0037
7	0.4188	0.3771	0.2041
8	0.0874	0.1955	0.7171
9	0.3198	0.3375	0.3427
