#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
28:35749-37530       -            594 182107at2            -            492    2e-214  710.6   7.2   1   1  9.6e-216  3.4e-213  706.5   7.2     1   492     4   593     4   593 0.90 28_35 # 35749 # 37530 # -1 # ID=28_35;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=14bp;gc_cont=0.454
26:27951-29750       -            600 182107at2            -            492     9e-46  154.3   0.3   1   2   2.9e-41     1e-38  131.0   0.0     1   201     4   242     4   282 0.76 26_12 # 27951 # 29750 # -1 # ID=26_12;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=10bp;gc_cont=0.444
26:27951-29750       -            600 182107at2            -            492     9e-46  154.3   0.3   2   2   1.1e-07   3.9e-05   20.2   0.1   284   352   359   424   320   442 0.85 26_12 # 27951 # 29750 # -1 # ID=26_12;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=10bp;gc_cont=0.444
10:64664-66781       -            706 182107at2            -            492   4.9e-36  122.2   0.2   1   3   8.5e-26     3e-23   80.0   0.0     2   132    10   162     9   184 0.84 10_59 # 64664 # 66781 # 1 # ID=10_59;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=11bp;gc_cont=0.448
10:64664-66781       -            706 182107at2            -            492   4.9e-36  122.2   0.2   2   3   2.8e-11   9.8e-09   32.1   0.0   156   326   307   500   302   505 0.71 10_59 # 64664 # 66781 # 1 # ID=10_59;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=11bp;gc_cont=0.448
10:64664-66781       -            706 182107at2            -            492   4.9e-36  122.2   0.2   3   3    0.0089       3.1    4.1   0.0   322   351   607   636   594   642 0.89 10_59 # 64664 # 66781 # 1 # ID=10_59;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=11bp;gc_cont=0.448
17:75846-77771       -            642 182107at2            -            492   4.2e-27   92.7   0.6   1   2   2.8e-25     1e-22   78.3   0.3     1   129     3   149     3   166 0.82 17_62 # 75846 # 77771 # 1 # ID=17_62;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=5bp;gc_cont=0.398
17:75846-77771       -            642 182107at2            -            492   4.2e-27   92.7   0.6   2   2   8.6e-05      0.03   10.7   0.0   132   307   217   415   192   440 0.70 17_62 # 75846 # 77771 # 1 # ID=17_62;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=5bp;gc_cont=0.398
35:19605-21530       -            642 182107at2            -            492   2.7e-26   90.0   1.6   1   2   2.3e-25   8.2e-23   78.6   0.5     1   129     3   149     3   163 0.83 35_20 # 19605 # 21530 # -1 # ID=35_20;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=4bp;gc_cont=0.381
35:19605-21530       -            642 182107at2            -            492   2.7e-26   90.0   1.6   2   2   0.00028     0.098    9.0   0.0   133   303   218   411   194   439 0.70 35_20 # 19605 # 21530 # -1 # ID=35_20;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=4bp;gc_cont=0.381
24:46300-47874       -            525 182107at2            -            492   4.1e-23   79.5   0.1   1   3   5.6e-23     2e-20   70.7   0.2     2   129    11   160    10   185 0.84 24_43 # 46300 # 47874 # -1 # ID=24_43;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.451
24:46300-47874       -            525 182107at2            -            492   4.1e-23   79.5   0.1   2   3         2     7e+02   -3.7   0.0   136   159   252   275   246   278 0.86 24_43 # 46300 # 47874 # -1 # ID=24_43;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.451
24:46300-47874       -            525 182107at2            -            492   4.1e-23   79.5   0.1   3   3     0.012       4.2    3.7   0.0   229   302   385   454   326   467 0.69 24_43 # 46300 # 47874 # -1 # ID=24_43;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.451
4:252945-255995      -           1017 182107at2            -            492   5.3e-22   75.9   0.5   1   2   1.5e-24   5.3e-22   75.9   0.5     5   194   521   724   519   737 0.82 4_219 # 252945 # 255995 # 1 # ID=4_219;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=7bp;gc_cont=0.441
4:252945-255995      -           1017 182107at2            -            492   5.3e-22   75.9   0.5   2   2      0.92   3.2e+02   -2.6   0.2   174   201   935   962   886   986 0.64 4_219 # 252945 # 255995 # 1 # ID=4_219;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=7bp;gc_cont=0.441
10:47479-48663       -            395 182107at2            -            492     2e-16   57.5   0.2   1   1     1e-18   3.6e-16   56.6   0.2     3   212    14   261    13   281 0.71 10_44 # 47479 # 48663 # 1 # ID=10_44;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=11bp;gc_cont=0.449
12:135307-136620     -            438 182107at2            -            492   2.5e-14   50.6   0.2   1   2   2.9e-05      0.01   12.3   0.0     5   157     6   165     3   171 0.72 12_114 # 135307 # 136620 # -1 # ID=12_114;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=11bp;gc_cont=0.432
12:135307-136620     -            438 182107at2            -            492   2.5e-14   50.6   0.2   2   2   1.3e-12   4.4e-10   36.6   0.0    60   150   242   343   175   360 0.74 12_114 # 135307 # 136620 # -1 # ID=12_114;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=11bp;gc_cont=0.432
7:116582-118738      -            719 182107at2            -            492   5.2e-10   36.3   0.0   1   3   1.8e-08   6.2e-06   22.9   0.0    26   131    48   157    39   181 0.83 7_106 # 116582 # 118738 # 1 # ID=7_106;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=11bp;gc_cont=0.464
7:116582-118738      -            719 182107at2            -            492   5.2e-10   36.3   0.0   2   3     0.017       5.9    3.2   0.0   156   314   295   475   282   485 0.55 7_106 # 116582 # 118738 # 1 # ID=7_106;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=11bp;gc_cont=0.464
7:116582-118738      -            719 182107at2            -            492   5.2e-10   36.3   0.0   3   3    0.0039       1.4    5.3   0.0   320   356   619   655   603   675 0.89 7_106 # 116582 # 118738 # 1 # ID=7_106;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=11bp;gc_cont=0.464
1:334872-336302      -            477 182107at2            -            492   3.1e-09   33.8   0.3   1   2      0.53   1.8e+02   -1.8   0.0    10    22    28    40    25    58 0.71 1_300 # 334872 # 336302 # 1 # ID=1_300;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=11bp;gc_cont=0.435
1:334872-336302      -            477 182107at2            -            492   3.1e-09   33.8   0.3   2   2   2.4e-11   8.3e-09   32.3   0.1    26   126    73   178    64   206 0.83 1_300 # 334872 # 336302 # 1 # ID=1_300;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=11bp;gc_cont=0.435
12:136673-137554     -            294 182107at2            -            492     1e-05   22.2   0.1   1   1   4.2e-08   1.5e-05   21.6   0.1     9   157    12   169     6   175 0.73 12_115 # 136673 # 137554 # -1 # ID=12_115;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=10bp;gc_cont=0.416
7:83504-84688        -            395 182107at2            -            492     0.012   12.1   0.0   1   1   4.5e-05     0.016   11.6   0.0    97   157   112   170    61   177 0.83 7_75 # 83504 # 84688 # -1 # ID=7_75;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.489
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data/wgs_assembly/hybrid_genome_assembly_guide/busco_downloads/lineages/bacteria_odb10/hmms/182107at2.hmm
# Target file:     /data/wgs_assembly/hybrid_genome_assembly_guide/06_genome_quality_assessment/busco/short_only/prodigal_output/predicted_genes/predicted.faa
