# BUSCO version is: 5.6.1 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	10:55787-60070	55787	60070	+	1691.1	1174	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	10:51828-55640	51828	55640	+	1170.2	793	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	2:389153-392857	389153	392857	+	206.5	362	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	6:61283-63901	63901	61283	-	548.0	521	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	9:16718-18751	16718	18751	+	717.2	489	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	26:27951-29750	29750	27951	-	518.3	437	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	28:35749-37530	37530	35749	-	710.6	491	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	7:139795-141222	141222	139795	-	246.0	264	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	33:17464-19809	19809	17464	-	506.2	457	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	3:273735-275492	273735	275492	+	575.2	472	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	13:30224-31495	30224	31495	+	306.9	276	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Duplicated	9:41813-43696	43696	41813	-	159.2	283	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
267682at2	Duplicated	37:2132-3538	2132	3538	+	145.3	259	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	5:61438-62712	62712	61438	-	352.3	313	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	4:251562-252824	251562	252824	+	150.0	180	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	4:94041-95333	94041	95333	+	333.0	282	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	16:2656-4173	2656	4173	+	538.7	359	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	2:305719-306978	305719	306978	+	150.9	221	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	2:302574-303593	302574	303593	+	372.9	293	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	5:7990-9513	7990	9513	+	302.5	229	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	19:44817-46184	44817	46184	+	217.7	230	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	5:223452-224741	224741	223452	-	382.7	288	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Complete	10:80194-81186	80194	81186	+	246.0	220	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	3:334259-335752	335752	334259	-	435.8	352	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Complete	22:57787-59826	57787	59826	+	182.9	306	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	7:272182-272973	272973	272182	-	259.1	207	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Complete	16:7402-8985	7402	8985	+	625.1	408	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Complete	2:10546-11550	11550	10546	-	135.2	183	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Complete	4:147219-148247	147219	148247	+	400.2	273	https://v10-1.orthodb.org/?query=874197at2	Holliday junction ATP-dependent DNA helicase RuvB
923547at2	Complete	6:240353-241519	241519	240353	-	220.1	296	https://v10-1.orthodb.org/?query=923547at2	Phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Complete	4:118852-120126	120126	118852	-	586.7	411	https://v10-1.orthodb.org/?query=932854at2	Phosphoribosylamine--glycine ligase
932993at2	Complete	12:128947-130302	130302	128947	-	36.1	183	https://v10-1.orthodb.org/?query=932993at2	Trigger factor
961486at2	Complete	10:68744-69568	68744	69568	+	213.3	165	https://v10-1.orthodb.org/?query=961486at2	Ribosomal protein L2
981870at2	Complete	7:188591-189667	189667	188591	-	282.4	265	https://v10-1.orthodb.org/?query=981870at2	Chorismate synthase
984717at2	Complete	12:136673-137554	137554	136673	-	217.2	223	https://v10-1.orthodb.org/?query=984717at2	GTPase Era
1009041at2	Complete	4:289048-290358	290358	289048	-	221.6	225	https://v10-1.orthodb.org/?query=1009041at2	Cell division protein FtsZ
1024388at2	Complete	4:89041-90333	89041	90333	+	414.3	298	https://v10-1.orthodb.org/?query=1024388at2	S-adenosylmethionine synthetase
1036075at2	Complete	4:135441-137303	137303	135441	-	254.9	315	https://v10-1.orthodb.org/?query=1036075at2	GIY-YIG endonuclease
1043239at2	Complete	23:41680-42390	42390	41680	-	148.0	153	https://v10-1.orthodb.org/?query=1043239at2	Uridylate kinase
1049662at2	Complete	30:12092-13615	13615	12092	-	521.5	437	https://v10-1.orthodb.org/?query=1049662at2	Methylglyoxal synthase-like domain
1054741at2	Duplicated	12:39075-40163	40163	39075	-	337.8	328	https://v10-1.orthodb.org/?query=1054741at2	tRNA-specific 2-thiouridylase
1054741at2	Duplicated	4:204036-205127	204036	205127	+	306.4	328	https://v10-1.orthodb.org/?query=1054741at2	tRNA-specific 2-thiouridylase
1054741at2	Duplicated	1:47323-48384	47323	48384	+	292.6	322	https://v10-1.orthodb.org/?query=1054741at2	tRNA-specific 2-thiouridylase
1069591at2	Duplicated	6:232017-233018	233018	232017	-	116.0	186	https://v10-1.orthodb.org/?query=1069591at2	tRNA dimethylallyltransferase
1069591at2	Duplicated	5:72843-73763	73763	72843	-	121.0	147	https://v10-1.orthodb.org/?query=1069591at2	tRNA dimethylallyltransferase
1074831at2	Complete	2:2539-4224	4224	2539	-	265.5	385	https://v10-1.orthodb.org/?query=1074831at2	DNA repair protein RecN
1080436at2	Complete	5:245981-247024	247024	245981	-	393.6	260	https://v10-1.orthodb.org/?query=1080436at2	Protein RecA
1093223at2	Complete	4:296553-297887	297887	296553	-	314.1	355	https://v10-1.orthodb.org/?query=1093223at2	Mur ligase, C-terminal
1132353at2	Complete	10:70310-71044	70310	71044	+	189.1	160	https://v10-1.orthodb.org/?query=1132353at2	K Homology domain
1151822at2	Complete	4:298028-299296	299296	298028	-	205.9	251	https://v10-1.orthodb.org/?query=1151822at2	Phospho-N-acetylmuramoyl-pentapeptide-transferase
1166299at2	Complete	4:86392-87093	86392	87093	+	115.0	120	https://v10-1.orthodb.org/?query=1166299at2	tRNA pseudouridine synthase B
1211060at2	Complete	10:79577-80182	79577	80182	+	191.4	163	https://v10-1.orthodb.org/?query=1211060at2	RNA-binding S4 domain
1257362at2	Complete	3:328025-329044	329044	328025	-	219.7	232	https://v10-1.orthodb.org/?query=1257362at2	tRNA N6-adenosine threonylcarbamoyltransferase
1266295at2	Complete	7:10927-11682	10927	11682	+	406.1	247	https://v10-1.orthodb.org/?query=1266295at2	Triosephosphate isomerase
1270636at2	Complete	10:67188-67805	67188	67805	+	161.1	156	https://v10-1.orthodb.org/?query=1270636at2	Ribosomal protein L3
1272633at2	Complete	4:303353-304267	304267	303353	-	131.6	155	https://v10-1.orthodb.org/?query=1272633at2	S-adenosyl-L-methionine-dependent methyltransferase
1346419at2	Complete	2:4228-5421	5421	4228	-	327.7	289	https://v10-1.orthodb.org/?query=1346419at2	Flavoprotein
1395197at2	Complete	11:35737-37092	35737	37092	+	117.3	155	https://v10-1.orthodb.org/?query=1395197at2	Peptidase M50
1398618at2	Complete	10:74009-74578	74009	74578	+	143.3	128	https://v10-1.orthodb.org/?query=1398618at2	Ribosomal protein L6, alpha-beta domain
1419877at2	Complete	7:159723-160718	160718	159723	-	218.2	258	https://v10-1.orthodb.org/?query=1419877at2	glycerol-3-phosphate dehydrogenase
1456375at2	Complete	10:72680-73237	72680	73237	+	207.6	141	https://v10-1.orthodb.org/?query=1456375at2	Ribosomal protein L5
1470978at2	Complete	10:50788-51300	50788	51300	+	64.3	100	https://v10-1.orthodb.org/?query=1470978at2	Ribosomal protein L10
1490892at2	Complete	5:77420-78109	78109	77420	-	46.8	83	https://v10-1.orthodb.org/?query=1490892at2	16S rRNA (uracil(1498)-N(3))-methyltransferase
1491686at2	Complete	5:178165-178734	178165	178734	+	127.1	127	https://v10-1.orthodb.org/?query=1491686at2	Adenylate kinase
1497415at2	Complete	11:33079-33621	33079	33621	+	23.2	87	https://v10-1.orthodb.org/?query=1497415at2	Ribosome maturation factor RimM
1502854at2	Complete	11:25129-25743	25743	25129	-	226.4	182	https://v10-1.orthodb.org/?query=1502854at2	Guanylate kinase
1504821at2	Complete	18:80193-81122	80193	81122	+	168.0	216	https://v10-1.orthodb.org/?query=1504821at2	Riboflavin kinase
1505038at2	Complete	10:74950-75468	74950	75468	+	200.8	148	https://v10-1.orthodb.org/?query=1505038at2	Ribosomal protein S5
1540940at2	Complete	10:64133-64609	64133	64609	+	179.6	133	https://v10-1.orthodb.org/?query=1540940at2	Ribosomal protein S7 domain
1567535at2	Complete	10:76137-77483	76137	77483	+	314.8	299	https://v10-1.orthodb.org/?query=1567535at2	Protein translocase subunit SecY
1572673at2	Complete	10:67805-68431	67805	68431	+	111.8	98	https://v10-1.orthodb.org/?query=1572673at2	50S ribosomal protein L4
1574817at2	Complete	5:234118-235107	234118	235107	+	143.7	148	https://v10-1.orthodb.org/?query=1574817at2	Transcription antitermination protein NusB
1590629at2	Complete	1:757764-758438	758438	757764	-	56.5	86	https://v10-1.orthodb.org/?query=1590629at2	rRNA small subunit methyltransferase G
1592033at2	Complete	23:4466-5719	4466	5719	+	470.4	366	https://v10-1.orthodb.org/?query=1592033at2	GTPase HflX
1595498at2	Complete	4:251092-251559	251092	251559	+	32.2	38	https://v10-1.orthodb.org/?query=1595498at2	Ribosome maturation factor RimP
1623045at2	Complete	12:46669-47505	47505	46669	-	238.9	184	https://v10-1.orthodb.org/?query=1623045at2	Ribosomal protein S2
