# BUSCO version is: 5.6.1 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	1:4068161-4072444	4072444	4068161	-	1691.1	1174	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	1:4072591-4076403	4076403	4072591	-	1170.2	793	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	1:2894413-2898117	2894413	2898117	+	206.5	362	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	1:63051-65669	65669	63051	-	548.0	521	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	1:2245305-2247338	2245305	2247338	+	717.2	489	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	1:4301893-4303692	4303692	4301893	-	518.3	437	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	1:2171043-2172824	2172824	2171043	-	710.6	491	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	1:3544796-3546223	3544796	3546223	+	246.0	264	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	1:4252366-4254711	4252366	4254711	+	506.2	457	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	1:2005128-2006885	2005128	2006885	+	575.2	472	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	1:3041262-3042533	3042533	3041262	-	306.9	276	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Duplicated	1:2270400-2272283	2272283	2270400	-	159.2	283	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
267682at2	Duplicated	1:648039-649445	649445	648039	-	145.3	259	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	1:375105-376379	376379	375105	-	352.3	313	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	1:4730465-4731727	4730465	4731727	+	150.0	180	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	1:4572944-4574236	4572944	4574236	+	333.0	282	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	1:1625504-1627021	1625504	1627021	+	538.7	359	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	1:2810979-2812238	2810979	2812238	+	150.9	221	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	1:2807834-2808853	2807834	2808853	+	372.9	293	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	1:321657-323180	321657	323180	+	302.5	229	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	1:5189142-5190509	5190509	5189142	-	217.7	230	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	1:537119-538408	538408	537119	-	382.7	288	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Complete	1:4047045-4048037	4048037	4047045	-	246.0	220	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	1:2065652-2067145	2067145	2065652	-	435.8	352	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Complete	1:4407735-4409774	4407735	4409774	+	182.9	306	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	1:3413045-3413836	3413045	3413836	+	259.1	207	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Complete	1:1630250-1631833	1630250	1631833	+	625.1	408	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Complete	1:2515806-2516810	2516810	2515806	-	135.2	183	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Complete	1:4626122-4627150	4626122	4627150	+	400.2	273	https://v10-1.orthodb.org/?query=874197at2	Holliday junction ATP-dependent DNA helicase RuvB
923547at2	Complete	1:242121-243287	243287	242121	-	220.1	296	https://v10-1.orthodb.org/?query=923547at2	Phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Complete	1:4597755-4599029	4599029	4597755	-	586.7	411	https://v10-1.orthodb.org/?query=932854at2	Phosphoribosylamine--glycine ligase
932993at2	Complete	1:3960147-3961502	3961502	3960147	-	36.1	183	https://v10-1.orthodb.org/?query=932993at2	Trigger factor
961486at2	Complete	1:4058663-4059487	4059487	4058663	-	213.3	165	https://v10-1.orthodb.org/?query=961486at2	Ribosomal protein L2
981870at2	Complete	1:3496351-3497427	3496351	3497427	+	282.4	265	https://v10-1.orthodb.org/?query=981870at2	Chorismate synthase
984717at2	Complete	1:3967873-3968754	3968754	3967873	-	217.2	223	https://v10-1.orthodb.org/?query=984717at2	GTPase Era
1009041at2	Complete	1:4767951-4769261	4769261	4767951	-	221.6	225	https://v10-1.orthodb.org/?query=1009041at2	Cell division protein FtsZ
1024388at2	Complete	1:4567944-4569236	4567944	4569236	+	414.3	298	https://v10-1.orthodb.org/?query=1024388at2	S-adenosylmethionine synthetase
1036075at2	Complete	1:4614344-4616206	4616206	4614344	-	254.9	315	https://v10-1.orthodb.org/?query=1036075at2	GIY-YIG endonuclease
1043239at2	Complete	3:41680-42390	42390	41680	-	148.0	153	https://v10-1.orthodb.org/?query=1043239at2	Uridylate kinase
1049662at2	Complete	1:3704340-3705863	3705863	3704340	-	521.5	437	https://v10-1.orthodb.org/?query=1049662at2	Methylglyoxal synthase-like domain
1054741at2	Duplicated	1:3870275-3871363	3871363	3870275	-	337.8	328	https://v10-1.orthodb.org/?query=1054741at2	tRNA-specific 2-thiouridylase
1054741at2	Duplicated	1:4682939-4684030	4682939	4684030	+	306.4	328	https://v10-1.orthodb.org/?query=1054741at2	tRNA-specific 2-thiouridylase
1054741at2	Duplicated	1:773031-774092	773031	774092	+	292.6	322	https://v10-1.orthodb.org/?query=1054741at2	tRNA-specific 2-thiouridylase
1069591at2	Duplicated	1:233785-234786	234786	233785	-	116.0	186	https://v10-1.orthodb.org/?query=1069591at2	tRNA dimethylallyltransferase
1069591at2	Duplicated	1:386510-387430	387430	386510	-	121.0	147	https://v10-1.orthodb.org/?query=1069591at2	tRNA dimethylallyltransferase
1074831at2	Complete	1:2507799-2509484	2509484	2507799	-	265.5	385	https://v10-1.orthodb.org/?query=1074831at2	DNA repair protein RecN
1080436at2	Complete	1:559648-560691	560691	559648	-	393.6	260	https://v10-1.orthodb.org/?query=1080436at2	Protein RecA
1093223at2	Complete	1:4775456-4776790	4776790	4775456	-	314.1	355	https://v10-1.orthodb.org/?query=1093223at2	Mur ligase, C-terminal
1132353at2	Complete	1:4057187-4057921	4057921	4057187	-	189.1	160	https://v10-1.orthodb.org/?query=1132353at2	K Homology domain
1151822at2	Complete	1:4776931-4778199	4778199	4776931	-	205.9	251	https://v10-1.orthodb.org/?query=1151822at2	Phospho-N-acetylmuramoyl-pentapeptide-transferase
1166299at2	Complete	1:4565295-4565996	4565295	4565996	+	115.0	120	https://v10-1.orthodb.org/?query=1166299at2	tRNA pseudouridine synthase B
1211060at2	Complete	1:4048049-4048654	4048654	4048049	-	191.4	163	https://v10-1.orthodb.org/?query=1211060at2	RNA-binding S4 domain
1257362at2	Complete	1:2059418-2060437	2060437	2059418	-	219.7	232	https://v10-1.orthodb.org/?query=1257362at2	tRNA N6-adenosine threonylcarbamoyltransferase
1266295at2	Complete	1:3674336-3675091	3675091	3674336	-	406.1	247	https://v10-1.orthodb.org/?query=1266295at2	Triosephosphate isomerase
1270636at2	Complete	1:4060426-4061043	4061043	4060426	-	161.1	156	https://v10-1.orthodb.org/?query=1270636at2	Ribosomal protein L3
1272633at2	Complete	1:4782256-4783170	4783170	4782256	-	131.6	155	https://v10-1.orthodb.org/?query=1272633at2	S-adenosyl-L-methionine-dependent methyltransferase
1346419at2	Complete	1:2509488-2510681	2510681	2509488	-	327.7	289	https://v10-1.orthodb.org/?query=1346419at2	Flavoprotein
1395197at2	Complete	1:3365389-3366744	3366744	3365389	-	117.3	155	https://v10-1.orthodb.org/?query=1395197at2	Peptidase M50
1398618at2	Complete	1:4053653-4054222	4054222	4053653	-	143.3	128	https://v10-1.orthodb.org/?query=1398618at2	Ribosomal protein L6, alpha-beta domain
