#Annotated with Bakta v1.11.4, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1	195	-	LGJFBO_00001	6.7	9.5		
contig_1	8711	8908	+	LGJFBO_00010	7.5	6.0		SO:0001217, UniRef:UniRef50_A0A416G5C3
contig_1	8946	9146	-	LGJFBO_00011	7.4	9.4		SO:0001217, UniRef:UniRef50_A0A413ZSR1
contig_1	11318	12640	+	LGJFBO_00015	49.0	9.2		
contig_1	21711	22304	-	LGJFBO_00026	23.0	5.6		SO:0001217, UniRef:UniRef50_A0A414KX30
contig_1	23338	23721	-	LGJFBO_00029	15.0	4.6		SO:0001217, UniRef:UniRef50_C9LE99
contig_1	36054	36611	-	LGJFBO_00045	21.1	9.9	PF06713.17|bPH_4	PFAM:PF06713.17
contig_1	66715	67800	+	LGJFBO_00068	40.9	4.9		SO:0001217, UniRef:UniRef50_A0A0I9RVV6
contig_1	68833	69816	-	LGJFBO_00070	37.6	6.4	PF19543.5|GH123_N	PFAM:PF19543.5
contig_1	69988	71862	-	LGJFBO_00071	69.9	8.8	PF19543.5|GH123_N, PF22680.2|Glyco_hydro_123_N_2	PFAM:PF19543.5, PFAM:PF22680.2
contig_1	75301	75474	-	LGJFBO_00075	6.6	5.7		
contig_1	75588	75752	+	LGJFBO_00076	6.3	9.5		
contig_1	77692	79146	+	LGJFBO_00079	55.2	9.0		
contig_1	79143	80531	+	LGJFBO_00080	54.0	8.9		
contig_1	82935	84011	+	LGJFBO_00083	41.6	8.9	PF13692.12|Glyco_trans_1_4	PFAM:PF13692.12
contig_1	84023	85117	+	LGJFBO_00084	42.6	9.0		
contig_1	85119	85628	+	LGJFBO_00085	18.6	9.7		
contig_1	86699	87832	+	LGJFBO_00087	43.4	6.1	PF14667.12|Polysacc_synt_C	PFAM:PF14667.12
contig_1	89055	90161	+	LGJFBO_00089	42.0	9.4		
contig_1	95792	95980	+	LGJFBO_00096	6.9	10.6		
contig_1	100166	101977	+	LGJFBO_00102	71.1	7.9	PF00165.29|HTH_AraC, PF00515.34|TPR_1, PF07719.23|TPR_2, PF12833.13|HTH_18, PF13181.12|TPR_8, PF13424.12|TPR_12	PFAM:PF00165.29, PFAM:PF00515.34, PFAM:PF07719.23, PFAM:PF12833.13, PFAM:PF13181.12, PFAM:PF13424.12
contig_1	101967	102074	-	LGJFBO_00103	4.1	9.4		
contig_1	104164	105669	+	LGJFBO_00106	54.6	8.2		
contig_1	114735	115247	+	LGJFBO_00118	19.6	5.0		
contig_1	128658	128771	-	LGJFBO_00128	4.3	8.1		
contig_1	157864	159108	+	LGJFBO_00154	48.0	8.1	PF02687.27|FtsX	PFAM:PF02687.27
contig_1	171226	171510	+	LGJFBO_00162	11.2	8.8		
contig_1	177490	179061	+	LGJFBO_00167	60.2	7.9	PF01420.25|Methylase_S	PFAM:PF01420.25, SO:0001217, UniRef:UniRef50_A0AB34X465
contig_1	179041	179640	-	LGJFBO_00168	22.9	5.9	PF01420.25|Methylase_S	PFAM:PF01420.25
contig_1	188858	189073	+	LGJFBO_00179	8.3	9.0		
contig_1	189096	189299	+	LGJFBO_00180	7.7	9.6		
contig_1	192093	192953	+	LGJFBO_00183	33.3	8.6		
contig_1	193903	194919	+	LGJFBO_00185	39.6	8.6	PF00852.26|Glyco_transf_10	PFAM:PF00852.26
contig_1	195999	196718	+	LGJFBO_00187	27.8	8.9	PF12919.13|TcdA_TcdB	PFAM:PF12919.13
contig_1	200589	200687	+	LGJFBO_00192	3.9	6.0		
contig_1	202628	202954	+	LGJFBO_00196	12.2	4.7	PF13657.11|Couple_hipA	PFAM:PF13657.11
contig_1	213530	213634	-	LGJFBO_00206	3.9	5.0		
