#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1:1440331-1440588    -             86 1827295at2           -             74   9.5e-17   60.1   0.7   1   1   3.5e-19   3.6e-16   58.3   0.7     5    56    21    84     9    85 0.85 1_3175 # 1440331 # 1440588 # 1 # ID=1_3175;partial=00;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=12bp;gc_cont=0.461
2:813577-813897      -            107 1827295at2           -             74    0.0012   18.1   0.3   1   1   2.2e-06    0.0022   17.3   0.3     8    33    33    61    19    89 0.85 2_1769 # 813577 # 813897 # 1 # ID=2_1769;partial=00;start_type=GTG;rbs_motif=AAAAAA;rbs_spacer=15bp;gc_cont=0.514
1:2931775-2932056    -             94 1827295at2           -             74    0.0035   16.6   0.0   1   1   5.2e-06    0.0052   16.1   0.0    12    36     1    25     1    54 0.80 1_6367 # 2931775 # 2932056 # -1 # ID=1_6367;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.433
1:1470121-1470483    -            121 1827295at2           -             74    0.0068   15.7   0.1   1   2   1.3e-05     0.013   14.8   0.0     8    36    43    72    31    81 0.84 1_3242 # 1470121 # 1470483 # 1 # ID=1_3242;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.490
1:1470121-1470483    -            121 1827295at2           -             74    0.0068   15.7   0.1   2   2         5     5e+03   -3.1   0.0    18    28    84    94    82   103 0.62 1_3242 # 1470121 # 1470483 # 1 # ID=1_3242;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.490
1:1197298-1197846    -            183 1827295at2           -             74      0.01   15.1   0.0   1   1   2.6e-05     0.026   13.8   0.0     9    38    34    63    20    70 0.86 1_2667 # 1197298 # 1197846 # 1 # ID=1_2667;partial=00;start_type=GTG;rbs_motif=AATAA;rbs_spacer=9bp;gc_cont=0.426
1:1052009-1052341    -            111 1827295at2           -             74     0.021   14.2   0.0   1   1   3.4e-05     0.034   13.5   0.0     8    32    27    52     9    60 0.80 1_2345 # 1052009 # 1052341 # 1 # ID=1_2345;partial=00;start_type=ATG;rbs_motif=AAAAAA;rbs_spacer=4bp;gc_cont=0.393
2:767405-767764      -            120 1827295at2           -             74     0.032   13.5   0.0   1   1   7.7e-05     0.077   12.3   0.0    11    32     4    25     2    44 0.88 2_1656 # 767405 # 767764 # 1 # ID=2_1656;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.458
1:1327994-1328224    -             77 1827295at2           -             74     0.038   13.3   0.0   1   1   4.8e-05     0.048   13.0   0.0     9    39    33    66    15    67 0.80 1_2937 # 1327994 # 1328224 # -1 # ID=1_2937;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.390
1:1440585-1440749    -             55 1827295at2           -             74     0.069   12.5   0.1   1   1   8.8e-05     0.088   12.1   0.1    52    74     4    25     1    25 0.75 1_3176 # 1440585 # 1440749 # 1 # ID=1_3176;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.436
2:986903-987823      -            307 1827295at2           -             74     0.099   12.0   0.2   1   2   0.00025      0.25   10.7   0.0     9    48    32    71    15    75 0.81 2_2117 # 986903 # 987823 # 1 # ID=2_2117;partial=00;start_type=ATG;rbs_motif=AAAAAA;rbs_spacer=13bp;gc_cont=0.463
