locus_tag	ftype	length_bp	gene	EC_number	COG	product
LAGGGMOH_00001	gene	1674				
LAGGGMOH_00001	CDS	1674				IS1182 family transposase ISBf5
LAGGGMOH_00002	gene	240				
LAGGGMOH_00002	CDS	240				hypothetical protein
LAGGGMOH_00003	gene	396				
LAGGGMOH_00003	CDS	396				hypothetical protein
LAGGGMOH_00004	gene	324				
LAGGGMOH_00004	CDS	324				hypothetical protein
LAGGGMOH_00005	gene	450				
LAGGGMOH_00005	CDS	450				hypothetical protein
LAGGGMOH_00006	gene	288				
LAGGGMOH_00006	CDS	288				hypothetical protein
LAGGGMOH_00007	gene	306				
LAGGGMOH_00007	CDS	306				hypothetical protein
LAGGGMOH_00008	gene	303				
LAGGGMOH_00008	CDS	303				hypothetical protein
LAGGGMOH_00009	gene	294				
LAGGGMOH_00009	CDS	294				hypothetical protein
LAGGGMOH_00010	gene	747				
LAGGGMOH_00010	CDS	747				hypothetical protein
LAGGGMOH_00011	gene	1314	xerC_1			
LAGGGMOH_00011	CDS	1314	xerC_1			Tyrosine recombinase XerC
LAGGGMOH_00012	gene	1233	xerC_2			
LAGGGMOH_00012	CDS	1233	xerC_2			Tyrosine recombinase XerC
LAGGGMOH_00013	gene	2622				
LAGGGMOH_00013	CDS	2622				hypothetical protein
LAGGGMOH_00014	gene	261				
LAGGGMOH_00014	CDS	261				hypothetical protein
LAGGGMOH_00015	gene	3186				
LAGGGMOH_00015	CDS	3186			COG4771	TonB-dependent receptor P3
LAGGGMOH_00016	gene	1683				
LAGGGMOH_00016	CDS	1683				hypothetical protein
LAGGGMOH_00017	gene	954				
LAGGGMOH_00017	CDS	954				hypothetical protein
LAGGGMOH_00018	gene	1452				
LAGGGMOH_00018	CDS	1452				hypothetical protein
LAGGGMOH_00019	gene	3654	lacZ_1			
LAGGGMOH_00019	CDS	3654	lacZ_1	3.2.1.23	COG3250	Beta-galactosidase
LAGGGMOH_00020	gene	153				
LAGGGMOH_00020	CDS	153				hypothetical protein
LAGGGMOH_00021	gene	1251	aroA			
LAGGGMOH_00021	CDS	1251	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
LAGGGMOH_00022	gene	876				
LAGGGMOH_00022	CDS	876				hypothetical protein
LAGGGMOH_00023	gene	1170	rcsC_1			
LAGGGMOH_00023	CDS	1170	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
LAGGGMOH_00024	gene	1962				
LAGGGMOH_00024	CDS	1962		3.2.1.52	COG3525	Beta-hexosaminidase
LAGGGMOH_00025	gene	1320				
LAGGGMOH_00025	CDS	1320				hypothetical protein
LAGGGMOH_00026	gene	1035	emrA_1			
LAGGGMOH_00026	CDS	1035	emrA_1			Colistin resistance protein EmrA
LAGGGMOH_00027	gene	1581				
LAGGGMOH_00027	CDS	1581				hypothetical protein
LAGGGMOH_00028	gene	1089	wecH_1			
LAGGGMOH_00028	CDS	1089	wecH_1	2.3.1.-		O-acetyltransferase WecH
LAGGGMOH_00029	gene	75				
LAGGGMOH_00029	tRNA	75				tRNA-Pro(ggg)
LAGGGMOH_00030	gene	1062	aroB			
LAGGGMOH_00030	CDS	1062	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
LAGGGMOH_00031	gene	405				
LAGGGMOH_00031	CDS	405				hypothetical protein
LAGGGMOH_00032	gene	2892				
LAGGGMOH_00032	CDS	2892				hypothetical protein
LAGGGMOH_00033	gene	1440	clsA_1			
LAGGGMOH_00033	CDS	1440	clsA_1	2.7.8.-	COG1502	Major cardiolipin synthase ClsA
LAGGGMOH_00034	gene	492				
LAGGGMOH_00034	CDS	492		2.1.1.-	COG0742	RNA/DNA methyltransferase
LAGGGMOH_00035	gene	795				
LAGGGMOH_00035	CDS	795				hypothetical protein
LAGGGMOH_00036	gene	684				
LAGGGMOH_00036	CDS	684				hypothetical protein
LAGGGMOH_00037	gene	1419	recD2_1			
LAGGGMOH_00037	CDS	1419	recD2_1	5.6.2.3		ATP-dependent RecD2 DNA helicase
LAGGGMOH_00038	gene	1734				
LAGGGMOH_00038	CDS	1734				hypothetical protein
LAGGGMOH_00039	gene	3417				
LAGGGMOH_00039	CDS	3417			COG4771	TonB-dependent receptor P3
LAGGGMOH_00040	gene	2226				
LAGGGMOH_00040	CDS	2226				hypothetical protein
LAGGGMOH_00041	gene	2268				
LAGGGMOH_00041	CDS	2268				hypothetical protein
LAGGGMOH_00042	gene	999				
LAGGGMOH_00042	CDS	999				hypothetical protein
LAGGGMOH_00043	gene	555	sigW_1			
LAGGGMOH_00043	CDS	555	sigW_1		COG1595	ECF RNA polymerase sigma factor SigW
LAGGGMOH_00044	gene	2202				
LAGGGMOH_00044	CDS	2202				hypothetical protein
LAGGGMOH_00045	gene	1194	bcr			
LAGGGMOH_00045	CDS	1194	bcr		COG2814	Bicyclomycin resistance protein
LAGGGMOH_00046	gene	855				
LAGGGMOH_00046	CDS	855				hypothetical protein
LAGGGMOH_00047	gene	2619	alaS			
LAGGGMOH_00047	CDS	2619	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
LAGGGMOH_00048	gene	969				
LAGGGMOH_00048	CDS	969				hypothetical protein
LAGGGMOH_00049	gene	366				
LAGGGMOH_00049	CDS	366				hypothetical protein
LAGGGMOH_00050	gene	2247	spoT			
LAGGGMOH_00050	CDS	2247	spoT	3.1.7.2	COG0317	Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase
LAGGGMOH_00051	gene	1299				
LAGGGMOH_00051	CDS	1299				hypothetical protein
LAGGGMOH_00052	gene	870				
LAGGGMOH_00052	CDS	870				hypothetical protein
LAGGGMOH_00053	gene	891	parB			
LAGGGMOH_00053	CDS	891	parB		COG1475	putative chromosome-partitioning protein ParB
LAGGGMOH_00054	gene	768	soj_1			
LAGGGMOH_00054	CDS	768	soj_1	3.6.4.-	COG1192	Sporulation initiation inhibitor protein Soj
LAGGGMOH_00055	gene	768	surE			
LAGGGMOH_00055	CDS	768	surE	3.1.3.5	COG0496	5'-nucleotidase SurE
LAGGGMOH_00056	gene	1134	lpxB			
LAGGGMOH_00056	CDS	1134	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
LAGGGMOH_00057	gene	741				
LAGGGMOH_00057	CDS	741				hypothetical protein
LAGGGMOH_00058	gene	840				
LAGGGMOH_00058	CDS	840				hypothetical protein
LAGGGMOH_00059	gene	1989	ftsH			
LAGGGMOH_00059	CDS	1989	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
LAGGGMOH_00060	gene	360	rsfS			
LAGGGMOH_00060	CDS	360	rsfS		COG0799	Ribosomal silencing factor RsfS
LAGGGMOH_00061	gene	72				
LAGGGMOH_00061	tRNA	72				tRNA-Gln(ctg)
LAGGGMOH_00062	gene	1851				
LAGGGMOH_00062	CDS	1851				hypothetical protein
LAGGGMOH_00063	gene	1341	mgtE			
LAGGGMOH_00063	CDS	1341	mgtE		COG2239	Magnesium transporter MgtE
LAGGGMOH_00064	gene	843	rsmA			
LAGGGMOH_00064	CDS	843	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
LAGGGMOH_00065	gene	1002				
LAGGGMOH_00065	CDS	1002				hypothetical protein
LAGGGMOH_00066	gene	1458	pepD_1			
LAGGGMOH_00066	CDS	1458	pepD_1	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
LAGGGMOH_00067	gene	1683				
LAGGGMOH_00067	CDS	1683				hypothetical protein
LAGGGMOH_00068	gene	1152				
LAGGGMOH_00068	CDS	1152				hypothetical protein
LAGGGMOH_00069	gene	2751				
LAGGGMOH_00069	CDS	2751				hypothetical protein
LAGGGMOH_00070	gene	741				
LAGGGMOH_00070	CDS	741				hypothetical protein
LAGGGMOH_00071	gene	5781				
LAGGGMOH_00071	CDS	5781				hypothetical protein
LAGGGMOH_00072	gene	1089				
LAGGGMOH_00072	CDS	1089				hypothetical protein
LAGGGMOH_00073	gene	1092				
LAGGGMOH_00073	CDS	1092		3.6.-.-	COG1703	putative GTPase
LAGGGMOH_00074	gene	942				
LAGGGMOH_00074	CDS	942				hypothetical protein
LAGGGMOH_00075	gene	828				
LAGGGMOH_00075	CDS	828				hypothetical protein
LAGGGMOH_00076	gene	1017				
LAGGGMOH_00076	CDS	1017				hypothetical protein
LAGGGMOH_00077	gene	1248	ybdG_1			
LAGGGMOH_00077	CDS	1248	ybdG_1		COG0668	Mechanosensing system component YbdG
LAGGGMOH_00078	gene	894	rhaS_1			
LAGGGMOH_00078	CDS	894	rhaS_1			HTH-type transcriptional activator RhaS
LAGGGMOH_00079	gene	873				
LAGGGMOH_00079	CDS	873				hypothetical protein
LAGGGMOH_00080	gene	348				
LAGGGMOH_00080	CDS	348				hypothetical protein
LAGGGMOH_00081	gene	369				
LAGGGMOH_00081	CDS	369				hypothetical protein
LAGGGMOH_00082	gene	537	rfaH_1			
LAGGGMOH_00082	CDS	537	rfaH_1			Transcription antitermination protein RfaH
LAGGGMOH_00083	gene	489				
LAGGGMOH_00083	CDS	489				hypothetical protein
LAGGGMOH_00084	gene	882	rmlA			
LAGGGMOH_00084	CDS	882	rmlA	2.7.7.24		Glucose-1-phosphate thymidylyltransferase
LAGGGMOH_00085	gene	414	fdtA_1			
LAGGGMOH_00085	CDS	414	fdtA_1	5.3.2.3		TDP-4-oxo-6-deoxy-alpha-D-glucose-3,4-oxoisomerase
LAGGGMOH_00086	gene	411	fdtA_2			
