#Annotated with Bakta v1.11.4, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1783	2022	+	IMCPIC_00002	9.6	5.3		
contig_1	5387	6133	+	IMCPIC_00010	29.3	6.3		
contig_1	11844	12104	-	IMCPIC_00014	10.3	7.9		SO:0001217, UniRef:UniRef50_A0A0I9S4F2
contig_1	23575	23727	+	IMCPIC_00020	5.3	7.7		
contig_1	109707	110075	-	IMCPIC_00081	14.1	9.9		SO:0001217, UniRef:UniRef50_A0AAN4MUN4
contig_1	117696	118841	+	IMCPIC_00090	41.9	5.8	PF02775.26|TPP_enzyme_C, PF02776.23|TPP_enzyme_N	PFAM:PF02775.26, PFAM:PF02776.23
contig_1	118828	119967	+	IMCPIC_00091	42.5	5.5	PF00465.25|Fe-ADH, PF25137.1|ADH_Fe_C	PFAM:PF00465.25, PFAM:PF25137.1
contig_1	119982	120854	+	IMCPIC_00092	34.1	8.5	PF04991.19|LicD	PFAM:PF04991.19
contig_1	133862	134308	+	IMCPIC_00105	15.8	8.8	PF00216.26|Bac_DNA_binding, PF18291.6|HU-HIG	PFAM:PF00216.26, PFAM:PF18291.6
contig_1	146015	147796	+	IMCPIC_00112	68.5	6.5		SO:0001217, UniRef:UniRef50_B3C6L6
contig_1	147799	149172	+	IMCPIC_00113	52.1	5.9	PF03648.19|Glyco_hydro_67N	PFAM:PF03648.19
contig_1	149169	151016	+	IMCPIC_00114	68.6	7.1	PF18099.7|CBM_35_2	PFAM:PF18099.7
contig_1	169236	169370	+	IMCPIC_00129	4.8	8.7		
contig_1	188416	188793	-	IMCPIC_00144	14.6	7.0		SO:0001217, UniRef:UniRef50_I9VZ95
contig_1	223643	223870	-	IMCPIC_00165	8.3	6.3		
contig_1	229888	230001	+	IMCPIC_00170	4.5	4.5		
contig_1	243415	243600	+	IMCPIC_00183	6.9	9.9		
contig_1	243575	243703	+	IMCPIC_00184	4.8	9.4		
contig_1	244567	245490	-	IMCPIC_00186	32.9	8.9	PF04536.20|TPM_phosphatase	PFAM:PF04536.20
contig_1	250210	250890	+	IMCPIC_00192	25.7	9.2		
contig_1	255097	256251	+	IMCPIC_00196	43.1	8.4	PF01613.24|Flavin_Reduct, PF14730.11|DUF4468	PFAM:PF01613.24, PFAM:PF14730.11
contig_1	258041	258694	+	IMCPIC_00199	24.4	4.9		
contig_1	268924	269220	+	IMCPIC_00205	11.2	5.5		
contig_1	291250	291360	+	IMCPIC_00217	4.3	10.2		
contig_1	302230	305622	+	IMCPIC_00222	126.2	6.5	PF07715.20|Plug, PF13715.12|CarbopepD_reg_2	PFAM:PF07715.20, PFAM:PF13715.12
contig_1	335573	335719	-	IMCPIC_00245	5.4	9.4		
contig_1	335719	335868	-	IMCPIC_00246	5.5	10.8		
contig_1	343457	344185	+	IMCPIC_00253	27.2	9.6	PF09922.15|LiaF-like_C, PF18917.5|LiaI-LiaF-like_TM1, PF22570.1|LiaF-TM	PFAM:PF09922.15, PFAM:PF18917.5, PFAM:PF22570.1
contig_1	348424	348849	-	IMCPIC_00258	15.8	8.4	PF20203.3|DUF6565	PFAM:PF20203.3
contig_1	361671	362363	-	IMCPIC_00270	26.1	5.0		
contig_1	367383	368870	-	IMCPIC_00274	56.0	5.6		
contig_1	407020	407133	-	IMCPIC_00306	4.6	10.0		
contig_1	409430	409576	-	IMCPIC_00308	5.7	10.0		
contig_1	441651	442097	-	IMCPIC_00331	17.0	4.1		SO:0001217, UniRef:UniRef50_A0A374VEE7
contig_1	463618	463998	+	IMCPIC_00348	13.3	4.6		
contig_1	471008	471187	+	IMCPIC_00355	6.8	8.9		
contig_1	532822	532989	-	IMCPIC_00405	6.7	9.6		
contig_1	538557	539222	-	IMCPIC_00411	24.9	6.1	PF00805.28|Pentapeptide, PF13576.12|Pentapeptide_3, PF13599.12|Pentapeptide_4, PF23894.2|LD_SV2	PFAM:PF00805.28, PFAM:PF13576.12, PFAM:PF13599.12, PFAM:PF23894.2
contig_1	559360	559584	+	IMCPIC_00433	8.6	4.6		
contig_1	567332	567445	+	IMCPIC_00441	4.3	9.6		SO:0001217, UniRef:UniRef50_I9VY59
contig_1	577834	578733	+	IMCPIC_00451	34.0	9.6	PF03432.20|Relaxase	PFAM:PF03432.20
contig_1	581777	582424	+	IMCPIC_00455	25.4	7.7		
contig_1	599874	600053	-	IMCPIC_00466	7.0	5.6		
contig_1	604929	605894	+	IMCPIC_00470	36.8	8.6	PF16344.10|FecR_C	PFAM:PF16344.10
contig_1	612065	612163	+	IMCPIC_00474	3.7	10.0		
contig_1	626653	626802	+	IMCPIC_00489	5.8	7.7		
contig_1	627714	627836	+	IMCPIC_00491	4.7	9.8		
contig_1	630874	630996	+	IMCPIC_00495	4.7	9.8		
contig_1	667474	667689	-	IMCPIC_00522	8.6	10.1		
contig_1	704243	705502	+	IMCPIC_00552	45.9	8.5	PF13568.12|OMP_b-brl_2	PFAM:PF13568.12
contig_1	712893	713105	+	IMCPIC_00559	7.8	10.3		
contig_1	723178	723420	-	IMCPIC_00573	8.7	7.9		
contig_1	725688	725903	-	IMCPIC_00575	7.4	9.7		
contig_1	734419	734616	+	IMCPIC_00584	7.5	6.0		SO:0001217, UniRef:UniRef50_A0A416G5C3
contig_1	734654	734854	-	IMCPIC_00585	7.4	9.4		SO:0001217, UniRef:UniRef50_A0A413ZSR1
contig_1	737026	738348	+	IMCPIC_00589	49.0	9.2		
contig_1	747419	748012	-	IMCPIC_00600	23.0	5.6		SO:0001217, UniRef:UniRef50_A0A414KX30
contig_1	749046	749429	-	IMCPIC_00603	15.0	4.6		SO:0001217, UniRef:UniRef50_C9LE99
contig_1	761762	762319	-	IMCPIC_00619	21.1	9.9	PF06713.17|bPH_4	PFAM:PF06713.17
contig_1	792423	793508	+	IMCPIC_00642	40.9	4.9		SO:0001217, UniRef:UniRef50_A0A0I9RVV6
contig_1	794541	795524	-	IMCPIC_00644	37.6	6.4	PF19543.5|GH123_N	PFAM:PF19543.5
contig_1	795696	797570	-	IMCPIC_00645	69.9	8.8	PF19543.5|GH123_N, PF22680.2|Glyco_hydro_123_N_2	PFAM:PF19543.5, PFAM:PF22680.2
contig_1	801009	801182	-	IMCPIC_00649	6.6	5.7		
contig_1	801296	801460	+	IMCPIC_00650	6.3	9.5		
contig_1	803400	804854	+	IMCPIC_00653	55.2	9.0		
