# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	99	1772	+	IMCPIC_00001	1097.0	0.0	0.969	0.870	0.996	UniRef:UniRef50_A0A098C0N4
contig_1	cds	1783	2022	+	IMCPIC_00002	-	-	-	-	-	-
contig_1	cds	2000	2395	+	IMCPIC_00003	204.0	6.2e-67	0.985	0.801	0.752	UniRef:UniRef50_A0A174V6L8
contig_1	cds	2524	2847	+	IMCPIC_00004	128.0	6.2e-38	1.009	0.908	0.620	UniRef:UniRef50_F9Z871
contig_1	cds	2917	3366	-	IMCPIC_00005	251.0	3.4e-85	1.0	0.987	0.866	UniRef:UniRef50_I8XIE9
contig_1	cds	3852	4139	+	IMCPIC_00006	147.0	6.6e-46	1.032	0.907	0.796	UniRef:UniRef50_I9S2P5
contig_1	cds	4136	4441	+	IMCPIC_00007	161.0	2.5e-51	1.040	1.0	0.762	UniRef:UniRef50_I8XG34
contig_1	cds	4452	4754	+	IMCPIC_00008	159.0	3.3e-50	1.0	0.909	0.770	UniRef:UniRef50_I9GS63
contig_1	cds	4814	5107	+	IMCPIC_00009	126.0	2.8e-37	0.938	0.805	0.659	UniRef:UniRef50_F9Z313
contig_1	cds	5387	6133	+	IMCPIC_00010	-	-	-	-	-	-
contig_1	cds	6195	7508	-	IMCPIC_00011	526.0	1.0e-184	0.963	0.936	0.644	UniRef:UniRef50_A0A0F5J9T2
contig_1	cds	7535	8767	-	IMCPIC_00012	540.0	6.7e-191	0.998	0.990	0.658	UniRef:UniRef50_A0A0F5J8R0
contig_1	cds	9168	11789	+	IMCPIC_00013	1757.0	0.0	1.0	0.983	0.991	UniRef:UniRef50_I9BN38
contig_1	cds	11844	12104	-	IMCPIC_00014	182.0	6.2e-60	1.0	1.0	1.0	UniRef:UniRef50_A0A0I9S4F2
contig_1	cds	12571	15756	+	IMCPIC_00015	1108.0	0.0	0.959	0.897	0.534	UniRef:UniRef50_F7LKV9
contig_1	cds	15770	17452	+	IMCPIC_00016	884.0	0.0	0.995	0.986	0.747	UniRef:UniRef50_I9BMU9
