locus_tag	ftype	length_bp	gene	EC_number	COG	product
NHKJIMIN_00001	gene	315				
NHKJIMIN_00001	CDS	315				hypothetical protein
NHKJIMIN_00002	gene	159				
NHKJIMIN_00002	CDS	159				hypothetical protein
NHKJIMIN_00003	gene	198				
NHKJIMIN_00003	CDS	198				hypothetical protein
NHKJIMIN_00004	gene	186				
NHKJIMIN_00004	CDS	186				hypothetical protein
NHKJIMIN_00005	gene	135				
NHKJIMIN_00005	CDS	135				hypothetical protein
NHKJIMIN_00006	gene	267				
NHKJIMIN_00006	CDS	267				hypothetical protein
NHKJIMIN_00007	gene	780				
NHKJIMIN_00007	CDS	780				IS21 family transposase ISBf2
NHKJIMIN_00008	gene	285				
NHKJIMIN_00008	CDS	285				hypothetical protein
NHKJIMIN_00009	gene	207				
NHKJIMIN_00009	CDS	207				hypothetical protein
NHKJIMIN_00010	gene	186				
NHKJIMIN_00010	CDS	186				hypothetical protein
NHKJIMIN_00011	gene	441				
NHKJIMIN_00011	CDS	441				hypothetical protein
NHKJIMIN_00012	gene	219				
NHKJIMIN_00012	CDS	219				hypothetical protein
NHKJIMIN_00013	gene	450				
NHKJIMIN_00013	CDS	450				hypothetical protein
NHKJIMIN_00014	gene	204				
NHKJIMIN_00014	CDS	204				hypothetical protein
NHKJIMIN_00015	gene	294				
NHKJIMIN_00015	CDS	294				hypothetical protein
NHKJIMIN_00016	gene	495				
NHKJIMIN_00016	CDS	495				hypothetical protein
NHKJIMIN_00017	gene	438				
NHKJIMIN_00017	CDS	438				hypothetical protein
NHKJIMIN_00018	gene	147				
NHKJIMIN_00018	CDS	147				hypothetical protein
NHKJIMIN_00019	gene	162				
NHKJIMIN_00019	CDS	162				hypothetical protein
NHKJIMIN_00020	gene	369				
NHKJIMIN_00020	CDS	369				hypothetical protein
NHKJIMIN_00021	gene	642				
NHKJIMIN_00021	CDS	642				hypothetical protein
NHKJIMIN_00022	gene	252				
NHKJIMIN_00022	CDS	252				hypothetical protein
NHKJIMIN_00023	gene	429				
NHKJIMIN_00023	CDS	429				hypothetical protein
NHKJIMIN_00024	gene	231				
NHKJIMIN_00024	CDS	231				hypothetical protein
NHKJIMIN_00025	gene	246				
NHKJIMIN_00025	CDS	246				hypothetical protein
NHKJIMIN_00026	gene	876				
NHKJIMIN_00026	CDS	876				hypothetical protein
NHKJIMIN_00027	gene	774				
NHKJIMIN_00027	CDS	774				hypothetical protein
NHKJIMIN_00028	gene	174				
NHKJIMIN_00028	CDS	174				hypothetical protein
NHKJIMIN_00029	gene	363				
NHKJIMIN_00029	CDS	363				hypothetical protein
NHKJIMIN_00030	gene	357				
NHKJIMIN_00030	CDS	357				hypothetical protein
NHKJIMIN_00031	gene	156				
NHKJIMIN_00031	CDS	156				hypothetical protein
NHKJIMIN_00032	gene	1206				
NHKJIMIN_00032	CDS	1206				hypothetical protein
NHKJIMIN_00033	gene	231				
NHKJIMIN_00033	CDS	231				hypothetical protein
NHKJIMIN_00034	gene	132				
NHKJIMIN_00034	CDS	132				hypothetical protein
NHKJIMIN_00035	gene	144				
NHKJIMIN_00035	CDS	144				hypothetical protein
NHKJIMIN_00036	gene	318				
NHKJIMIN_00036	CDS	318				hypothetical protein
NHKJIMIN_00037	gene	195				
NHKJIMIN_00037	CDS	195				hypothetical protein
NHKJIMIN_00038	gene	168				
NHKJIMIN_00038	CDS	168				hypothetical protein
NHKJIMIN_00039	gene	171				
NHKJIMIN_00039	CDS	171				hypothetical protein
NHKJIMIN_00040	gene	192				
NHKJIMIN_00040	CDS	192				hypothetical protein
NHKJIMIN_00041	gene	762				
NHKJIMIN_00041	CDS	762				hypothetical protein
NHKJIMIN_00042	gene	642				
NHKJIMIN_00042	CDS	642			COG1629	TonB-dependent receptor P26
NHKJIMIN_00043	gene	558				
NHKJIMIN_00043	CDS	558				hypothetical protein
NHKJIMIN_00044	gene	609				
NHKJIMIN_00044	CDS	609			COG4771	TonB-dependent receptor P39
NHKJIMIN_00045	gene	168				
NHKJIMIN_00045	CDS	168				hypothetical protein
NHKJIMIN_00046	gene	438				
NHKJIMIN_00046	CDS	438			COG4771	TonB-dependent receptor P3
NHKJIMIN_00047	gene	168				
NHKJIMIN_00047	CDS	168				hypothetical protein
NHKJIMIN_00048	gene	1329				
NHKJIMIN_00048	CDS	1329				hypothetical protein
NHKJIMIN_00049	gene	285				
NHKJIMIN_00049	CDS	285				hypothetical protein
NHKJIMIN_00050	gene	228				
NHKJIMIN_00050	CDS	228				hypothetical protein
NHKJIMIN_00051	gene	120				
NHKJIMIN_00051	CDS	120				hypothetical protein
NHKJIMIN_00052	gene	612				
NHKJIMIN_00052	CDS	612				hypothetical protein
NHKJIMIN_00053	gene	279				
NHKJIMIN_00053	CDS	279				hypothetical protein
NHKJIMIN_00054	gene	1077	cbh			
NHKJIMIN_00054	CDS	1077	cbh	2.3.1.-		Bile salt hydrolase/transferase
NHKJIMIN_00055	gene	186				
NHKJIMIN_00055	CDS	186				hypothetical protein
NHKJIMIN_00056	gene	354				
NHKJIMIN_00056	CDS	354				hypothetical protein
NHKJIMIN_00057	gene	198				
NHKJIMIN_00057	CDS	198				hypothetical protein
NHKJIMIN_00058	gene	270				
NHKJIMIN_00058	CDS	270				hypothetical protein
NHKJIMIN_00059	gene	327				
NHKJIMIN_00059	CDS	327				hypothetical protein
NHKJIMIN_00060	gene	216				
NHKJIMIN_00060	CDS	216				hypothetical protein
NHKJIMIN_00061	gene	165				
NHKJIMIN_00061	CDS	165				hypothetical protein
NHKJIMIN_00062	gene	189				
NHKJIMIN_00062	CDS	189				hypothetical protein
