#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1:2171043-2172824    -            594 182107at2            -            492    2e-214  710.6   7.2   1   1  9.6e-216  3.4e-213  706.5   7.2     1   492     4   593     4   593 0.90 1_1853 # 2171043 # 2172824 # -1 # ID=1_1853;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=14bp;gc_cont=0.454
1:4301893-4303692    -            600 182107at2            -            492     9e-46  154.3   0.3   1   2   2.9e-41     1e-38  131.0   0.0     1   201     4   242     4   282 0.76 1_3629 # 4301893 # 4303692 # -1 # ID=1_3629;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=10bp;gc_cont=0.444
1:4301893-4303692    -            600 182107at2            -            492     9e-46  154.3   0.3   2   2   1.1e-07   3.9e-05   20.2   0.1   284   352   359   424   320   442 0.85 1_3629 # 4301893 # 4303692 # -1 # ID=1_3629;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=10bp;gc_cont=0.444
1:4061450-4063567    -            706 182107at2            -            492   4.9e-36  122.2   0.2   1   3   8.5e-26     3e-23   80.0   0.0     2   132    10   162     9   184 0.84 1_3447 # 4061450 # 4063567 # -1 # ID=1_3447;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=11bp;gc_cont=0.447
1:4061450-4063567    -            706 182107at2            -            492   4.9e-36  122.2   0.2   2   3   2.8e-11   9.8e-09   32.1   0.0   156   326   307   500   302   505 0.71 1_3447 # 4061450 # 4063567 # -1 # ID=1_3447;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=11bp;gc_cont=0.447
1:4061450-4063567    -            706 182107at2            -            492   4.9e-36  122.2   0.2   3   3    0.0089       3.1    4.1   0.0   322   351   607   636   594   642 0.89 1_3447 # 4061450 # 4063567 # -1 # ID=1_3447;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=11bp;gc_cont=0.447
1:5069777-5071702    -            642 182107at2            -            492   4.2e-27   92.7   0.6   1   2   2.8e-25     1e-22   78.3   0.3     1   129     3   149     3   166 0.82 1_4263 # 5069777 # 5071702 # -1 # ID=1_4263;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=5bp;gc_cont=0.398
1:5069777-5071702    -            642 182107at2            -            492   4.2e-27   92.7   0.6   2   2   8.6e-05      0.03   10.7   0.0   132   307   217   415   192   440 0.70 1_4263 # 5069777 # 5071702 # -1 # ID=1_4263;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=5bp;gc_cont=0.398
1:4325871-4327796    -            642 182107at2            -            492   2.7e-26   90.0   1.6   1   2   2.3e-25   8.2e-23   78.6   0.5     1   129     3   149     3   163 0.83 1_3648 # 4325871 # 4327796 # 1 # ID=1_3648;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=4bp;gc_cont=0.381
1:4325871-4327796    -            642 182107at2            -            492   2.7e-26   90.0   1.6   2   2   0.00028     0.098    9.0   0.0   133   303   218   411   194   439 0.70 1_3648 # 4325871 # 4327796 # 1 # ID=1_3648;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=4bp;gc_cont=0.381
1:675406-676980      -            525 182107at2            -            492   4.1e-23   79.5   0.1   1   3   5.6e-23     2e-20   70.7   0.2     2   129    11   160    10   185 0.84 1_522 # 675406 # 676980 # 1 # ID=1_522;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.452
1:675406-676980      -            525 182107at2            -            492   4.1e-23   79.5   0.1   2   3         2     7e+02   -3.7   0.0   136   159   252   275   246   278 0.86 1_522 # 675406 # 676980 # 1 # ID=1_522;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.452
1:675406-676980      -            525 182107at2            -            492   4.1e-23   79.5   0.1   3   3     0.012       4.2    3.7   0.0   229   302   385   454   326   467 0.69 1_522 # 675406 # 676980 # 1 # ID=1_522;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.452
1:4731848-4734898    -           1017 182107at2            -            492   5.3e-22   75.9   0.5   1   2   1.5e-24   5.3e-22   75.9   0.5     5   194   521   724   519   737 0.82 1_3992 # 4731848 # 4734898 # 1 # ID=1_3992;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=7bp;gc_cont=0.441
1:4731848-4734898    -           1017 182107at2            -            492   5.3e-22   75.9   0.5   2   2      0.92   3.2e+02   -2.6   0.2   174   201   935   962   886   986 0.64 1_3992 # 4731848 # 4734898 # 1 # ID=1_3992;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=7bp;gc_cont=0.441
1:4079568-4080752    -            395 182107at2            -            492     2e-16   57.5   0.2   1   1     1e-18   3.6e-16   56.6   0.2     3   212    14   261    13   281 0.71 1_3462 # 4079568 # 4080752 # -1 # ID=1_3462;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=11bp;gc_cont=0.449
1:3966507-3967820    -            438 182107at2            -            492   2.5e-14   50.6   0.2   1   2   2.9e-05      0.01   12.3   0.0     5   157     6   165     3   171 0.72 1_3359 # 3966507 # 3967820 # -1 # ID=1_3359;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=11bp;gc_cont=0.432
1:3966507-3967820    -            438 182107at2            -            492   2.5e-14   50.6   0.2   2   2   1.3e-12   4.4e-10   36.6   0.0    60   150   242   343   175   360 0.74 1_3359 # 3966507 # 3967820 # -1 # ID=1_3359;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=11bp;gc_cont=0.432
1:3567280-3569436    -            719 182107at2            -            492   5.2e-10   36.3   0.0   1   3   1.8e-08   6.2e-06   22.9   0.0    26   131    48   157    39   181 0.83 1_3024 # 3567280 # 3569436 # -1 # ID=1_3024;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=11bp;gc_cont=0.464
1:3567280-3569436    -            719 182107at2            -            492   5.2e-10   36.3   0.0   2   3     0.017       5.9    3.2   0.0   156   314   295   475   282   485 0.55 1_3024 # 3567280 # 3569436 # -1 # ID=1_3024;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=11bp;gc_cont=0.464
1:3567280-3569436    -            719 182107at2            -            492   5.2e-10   36.3   0.0   3   3    0.0039       1.4    5.3   0.0   320   356   619   655   603   675 0.89 1_3024 # 3567280 # 3569436 # -1 # ID=1_3024;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=11bp;gc_cont=0.464
1:1060580-1062010    -            477 182107at2            -            492   3.1e-09   33.8   0.3   1   2      0.53   1.8e+02   -1.8   0.0    10    22    28    40    25    58 0.71 1_865 # 1060580 # 1062010 # 1 # ID=1_865;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=11bp;gc_cont=0.435
1:1060580-1062010    -            477 182107at2            -            492   3.1e-09   33.8   0.3   2   2   2.4e-11   8.3e-09   32.3   0.1    26   126    73   178    64   206 0.83 1_865 # 1060580 # 1062010 # 1 # ID=1_865;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=11bp;gc_cont=0.435
1:3967873-3968754    -            294 182107at2            -            492     1e-05   22.2   0.1   1   1   4.2e-08   1.5e-05   21.6   0.1     9   157    12   169     6   175 0.73 1_3360 # 3967873 # 3968754 # -1 # ID=1_3360;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=10bp;gc_cont=0.416
1:3601330-3602514    -            395 182107at2            -            492     0.012   12.1   0.0   1   1   4.5e-05     0.016   11.6   0.0    97   157   112   170    61   177 0.83 1_3055 # 3601330 # 3602514 # 1 # ID=1_3055;partial=00;start_type=TTG;rbs_motif=AAA;rbs_spacer=13bp;gc_cont=0.489
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data/wgs_assembly/hybrid_genome_assembly_guide/busco_downloads/lineages/bacteria_odb10/hmms/182107at2.hmm
# Target file:     /data/wgs_assembly/hybrid_genome_assembly_guide/06_genome_quality_assessment/busco/hybrid/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /data/wgs_assembly/hybrid_genome_assembly_guide/06_genome_quality_assessment/busco/hybrid/run_bacteria_odb10/hmmer_output/182107at2.out --cpu 1 /data/wgs_assembly/hybrid_genome_assembly_guide/busco_downloads/lineages/bacteria_odb10/hmms/182107at2.hmm /data/wgs_assembly/hybrid_genome_assembly_guide/06_genome_quality_assessment/busco/hybrid/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data/wgs_assembly/hybrid_genome_assembly_guide
# Date:            Sun Dec 28 03:07:56 2025
# [ok]
