locus_tag	ftype	length_bp	gene	EC_number	COG	product
IFOHMJLD_00001	gene	630				
IFOHMJLD_00001	CDS	630				hypothetical protein
IFOHMJLD_00002	gene	429				
IFOHMJLD_00002	CDS	429				hypothetical protein
IFOHMJLD_00003	gene	783				
IFOHMJLD_00003	CDS	783				hypothetical protein
IFOHMJLD_00004	gene	423				
IFOHMJLD_00004	CDS	423				hypothetical protein
IFOHMJLD_00005	gene	1239				
IFOHMJLD_00005	CDS	1239				hypothetical protein
IFOHMJLD_00006	gene	2010				
IFOHMJLD_00006	CDS	2010				hypothetical protein
IFOHMJLD_00007	gene	1017				
IFOHMJLD_00007	CDS	1017				hypothetical protein
IFOHMJLD_00008	gene	702				
IFOHMJLD_00008	CDS	702				hypothetical protein
IFOHMJLD_00009	gene	198				
IFOHMJLD_00009	CDS	198				hypothetical protein
IFOHMJLD_00010	gene	201				
IFOHMJLD_00010	CDS	201				hypothetical protein
IFOHMJLD_00011	gene	411				
IFOHMJLD_00011	CDS	411				hypothetical protein
IFOHMJLD_00012	gene	627				
IFOHMJLD_00012	CDS	627				hypothetical protein
IFOHMJLD_00013	gene	231				
IFOHMJLD_00013	CDS	231				hypothetical protein
IFOHMJLD_00014	gene	1323				
IFOHMJLD_00014	CDS	1323				hypothetical protein
IFOHMJLD_00015	gene	2088	topB_1			
IFOHMJLD_00015	CDS	2088	topB_1	5.6.2.1	COG0550	DNA topoisomerase 3
IFOHMJLD_00016	gene	519				
IFOHMJLD_00016	CDS	519				hypothetical protein
IFOHMJLD_00017	gene	2073				
IFOHMJLD_00017	CDS	2073				hypothetical protein
IFOHMJLD_00018	gene	360				
IFOHMJLD_00018	CDS	360				hypothetical protein
IFOHMJLD_00019	gene	903				
IFOHMJLD_00019	CDS	903				hypothetical protein
IFOHMJLD_00020	gene	843				
IFOHMJLD_00020	CDS	843				hypothetical protein
IFOHMJLD_00021	gene	459				
IFOHMJLD_00021	CDS	459				hypothetical protein
IFOHMJLD_00022	gene	468				
IFOHMJLD_00022	CDS	468				hypothetical protein
IFOHMJLD_00023	gene	579				
IFOHMJLD_00023	CDS	579				hypothetical protein
IFOHMJLD_00024	gene	594				
IFOHMJLD_00024	CDS	594				hypothetical protein
IFOHMJLD_00025	gene	468				
IFOHMJLD_00025	CDS	468				hypothetical protein
IFOHMJLD_00026	gene	393				
IFOHMJLD_00026	CDS	393				hypothetical protein
IFOHMJLD_00027	gene	384				
IFOHMJLD_00027	CDS	384				hypothetical protein
IFOHMJLD_00028	gene	405				
IFOHMJLD_00028	CDS	405				hypothetical protein
IFOHMJLD_00029	gene	588				
IFOHMJLD_00029	CDS	588				hypothetical protein
IFOHMJLD_00030	gene	522				
IFOHMJLD_00030	CDS	522				hypothetical protein
IFOHMJLD_00031	gene	702				
IFOHMJLD_00031	CDS	702				hypothetical protein
IFOHMJLD_00032	gene	444				
IFOHMJLD_00032	CDS	444				hypothetical protein
IFOHMJLD_00033	gene	591				
IFOHMJLD_00033	CDS	591				hypothetical protein
IFOHMJLD_00034	gene	423				
IFOHMJLD_00034	CDS	423				hypothetical protein
IFOHMJLD_00035	gene	519				
IFOHMJLD_00035	CDS	519				hypothetical protein
IFOHMJLD_00036	gene	363				
IFOHMJLD_00036	CDS	363				hypothetical protein
IFOHMJLD_00037	gene	375				
IFOHMJLD_00037	CDS	375				hypothetical protein
IFOHMJLD_00038	gene	1107	xerC_1			
IFOHMJLD_00038	CDS	1107	xerC_1			Tyrosine recombinase XerC
IFOHMJLD_00039	gene	615				
IFOHMJLD_00039	CDS	615				hypothetical protein
IFOHMJLD_00040	gene	675				
IFOHMJLD_00040	CDS	675				hypothetical protein
IFOHMJLD_00041	gene	1140				
IFOHMJLD_00041	CDS	1140				hypothetical protein
IFOHMJLD_00042	gene	2574				
IFOHMJLD_00042	CDS	2574				hypothetical protein
IFOHMJLD_00043	gene	558				
IFOHMJLD_00043	CDS	558				hypothetical protein
IFOHMJLD_00044	gene	1590	yicI			
IFOHMJLD_00044	CDS	1590	yicI	3.2.1.177	COG1501	Alpha-xylosidase
IFOHMJLD_00045	gene	474				
IFOHMJLD_00045	CDS	474				hypothetical protein
IFOHMJLD_00046	gene	1338	paeA			
IFOHMJLD_00046	CDS	1338	paeA		COG1253	Polyamine export protein
IFOHMJLD_00047	gene	801	loiP			
IFOHMJLD_00047	CDS	801	loiP	3.4.24.-	COG0501	Metalloprotease LoiP
IFOHMJLD_00048	gene	2373				
IFOHMJLD_00048	CDS	2373				hypothetical protein
IFOHMJLD_00049	gene	438				
IFOHMJLD_00049	CDS	438				hypothetical protein
IFOHMJLD_00050	gene	819				
IFOHMJLD_00050	CDS	819				hypothetical protein
IFOHMJLD_00051	gene	822				
IFOHMJLD_00051	CDS	822				hypothetical protein
IFOHMJLD_00052	gene	1287				
IFOHMJLD_00052	CDS	1287		2.5.1.-	COG2873	O-acetyl-L-homoserine sulfhydrylase
IFOHMJLD_00053	gene	1062	mnmA_1			
IFOHMJLD_00053	CDS	1062	mnmA_1	2.8.1.13		tRNA-specific 2-thiouridylase MnmA
IFOHMJLD_00054	gene	678	narL			
IFOHMJLD_00054	CDS	678	narL		COG2197	putative transcriptional regulatory protein NarL
IFOHMJLD_00055	gene	591				
IFOHMJLD_00055	CDS	591				hypothetical protein
IFOHMJLD_00056	gene	1431	nhaC			
IFOHMJLD_00056	CDS	1431	nhaC		COG1757	Na(+)/H(+) antiporter NhaC
IFOHMJLD_00057	gene	855				
IFOHMJLD_00057	CDS	855				hypothetical protein
IFOHMJLD_00058	gene	438				
IFOHMJLD_00058	CDS	438				hypothetical protein
IFOHMJLD_00059	gene	1176				
IFOHMJLD_00059	CDS	1176			COG2814	putative transporter
IFOHMJLD_00060	gene	2361	pbpC			
IFOHMJLD_00060	CDS	2361	pbpC		COG4953	Penicillin-binding protein 1C
IFOHMJLD_00061	gene	5589				
IFOHMJLD_00061	CDS	5589				hypothetical protein
IFOHMJLD_00062	gene	1296	tilS			
IFOHMJLD_00062	CDS	1296	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
IFOHMJLD_00063	gene	2523	der_1			
IFOHMJLD_00063	CDS	2523	der_1			GTPase Der
IFOHMJLD_00064	gene	213				
IFOHMJLD_00064	CDS	213				hypothetical protein
IFOHMJLD_00065	gene	73				
IFOHMJLD_00065	tRNA	73				tRNA-Cys(gca)
IFOHMJLD_00066	gene	1086				
IFOHMJLD_00066	CDS	1086				hypothetical protein
IFOHMJLD_00067	gene	753				
IFOHMJLD_00067	CDS	753				hypothetical protein
IFOHMJLD_00068	gene	984				
IFOHMJLD_00068	CDS	984				hypothetical protein
IFOHMJLD_00069	gene	1875				
IFOHMJLD_00069	CDS	1875				hypothetical protein
IFOHMJLD_00070	gene	1260				
IFOHMJLD_00070	CDS	1260				hypothetical protein
IFOHMJLD_00071	gene	1014				
IFOHMJLD_00071	CDS	1014				hypothetical protein
IFOHMJLD_00072	gene	1008				
IFOHMJLD_00072	CDS	1008				hypothetical protein
IFOHMJLD_00073	gene	174				
IFOHMJLD_00073	CDS	174				hypothetical protein
IFOHMJLD_00074	gene	165				
IFOHMJLD_00074	CDS	165				hypothetical protein
IFOHMJLD_00075	gene	519				
IFOHMJLD_00075	CDS	519				hypothetical protein
IFOHMJLD_00076	gene	474				
IFOHMJLD_00076	CDS	474				hypothetical protein
IFOHMJLD_00077	gene	1455				
