# BUSCO version is: 5.6.1 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Fragmented	1:2686359-2687765	2686359	2687765	+	703.2	424	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Fragmented	1:2683063-2683896	2683063	2683896	+	305.1	177	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Fragmented	2:965838-967529	965838	967529	+	125.0	242	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Fragmented	1:1367126-1367749	1367126	1367749	+	136.3	108	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Missing
143460at2	Missing
182107at2	Missing
219876at2	Missing
223233at2	Fragmented	1:1676985-1678085	1676985	1678085	+	113.0	191	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Missing
232152at2	Fragmented	2:1112562-1113143	1113143	1112562	-	111.9	102	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Fragmented	2:340738-341724	341724	340738	-	90.9	172	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Missing
384865at2	Fragmented	1:2026140-2026565	2026565	2026140	-	33.3	52	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Fragmented	1:2183638-2184612	2184612	2183638	-	231.1	208	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Missing
462069at2	Fragmented	2:881785-882279	881785	882279	+	67.0	99	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Fragmented	2:878730-879227	878730	879227	+	219.2	142	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Fragmented	1:1109007-1109633	1109633	1109007	-	182.7	144	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Fragmented	1:1567133-1567825	1567133	1567825	+	108.1	103	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Fragmented	1:894339-894668	894339	894668	+	145.1	83	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Fragmented	1:2710403-2711098	2710403	2711098	+	155.4	148	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Missing
761140at2	Fragmented	1:2349144-2349884	2349884	2349144	-	77.3	119	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	1:3344743-3345261	3345261	3344743	-	180.0	142	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Fragmented	3:200574-201293	200574	201293	+	351.7	198	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Fragmented	2:586035-586640	586640	586035	-	52.4	68	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Missing
923547at2	Fragmented	1:1188937-1189338	1188937	1189338	+	73.6	115	https://v10-1.orthodb.org/?query=923547at2	Phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Missing
932993at2	Missing
961486at2	Fragmented	1:2698922-2699476	2698922	2699476	+	151.4	114	https://v10-1.orthodb.org/?query=961486at2	Ribosomal protein L2
981870at2	Fragmented	1:3261853-3262233	3262233	3261853	-	90.1	86	https://v10-1.orthodb.org/?query=981870at2	Chorismate synthase
984717at2	Missing
1009041at2	Fragmented	1:1988545-1988820	1988545	1988820	+	49.7	36	https://v10-1.orthodb.org/?query=1009041at2	Cell division protein FtsZ
1024388at2	Fragmented	1:2188923-2189570	2189570	2188923	-	193.4	139	https://v10-1.orthodb.org/?query=1024388at2	S-adenosylmethionine synthetase
1036075at2	Missing
1043239at2	Fragmented	1:1460531-1460815	1460531	1460815	+	63.1	61	https://v10-1.orthodb.org/?query=1043239at2	Uridylate kinase
1049662at2	Fragmented	1:3052542-3052949	3052542	3052949	+	149.0	114	https://v10-1.orthodb.org/?query=1049662at2	Methylglyoxal synthase-like domain
1054741at2	Fragmented	1:2074612-2074911	2074911	2074612	-	106.0	95	https://v10-1.orthodb.org/?query=1054741at2	tRNA-specific 2-thiouridylase
1069591at2	Fragmented	1:1197298-1197846	1197298	1197846	+	87.2	112	https://v10-1.orthodb.org/?query=1069591at2	tRNA dimethylallyltransferase
1074831at2	Fragmented	2:577846-578319	578319	577846	-	129.9	120	https://v10-1.orthodb.org/?query=1074831at2	DNA repair protein RecN
1080436at2	Fragmented	1:871434-872120	871434	872120	+	207.8	147	https://v10-1.orthodb.org/?query=1080436at2	Protein RecA
1093223at2	Fragmented	1:1981247-1981942	1981247	1981942	+	167.4	187	https://v10-1.orthodb.org/?query=1093223at2	Mur ligase, C-terminal
1132353at2	Fragmented	1:2700317-2700817	2700317	2700817	+	144.3	116	https://v10-1.orthodb.org/?query=1132353at2	K Homology domain
1151822at2	Missing
1166299at2	Fragmented	1:2191951-2192211	2192211	2191951	-	50.1	49	https://v10-1.orthodb.org/?query=1166299at2	tRNA pseudouridine synthase B
1211060at2	Complete	1:2709489-2710094	2709489	2710094	+	182.2	163	https://v10-1.orthodb.org/?query=1211060at2	RNA-binding S4 domain
1257362at2	Fragmented	2:129613-130263	130263	129613	-	169.1	150	https://v10-1.orthodb.org/?query=1257362at2	tRNA N6-adenosine threonylcarbamoyltransferase
1266295at2	Complete	1:3083272-3084027	3083272	3084027	+	406.1	247	https://v10-1.orthodb.org/?query=1266295at2	Triosephosphate isomerase
1270636at2	Fragmented	1:2697317-2697700	2697317	2697700	+	122.7	91	https://v10-1.orthodb.org/?query=1270636at2	Ribosomal protein L3
1272633at2	Fragmented	1:1975169-1975378	1975169	1975378	+	46.4	37	https://v10-1.orthodb.org/?query=1272633at2	S-adenosyl-L-methionine-dependent methyltransferase
1346419at2	Fragmented	2:579827-580225	580225	579827	-	105.1	86	https://v10-1.orthodb.org/?query=1346419at2	Flavoprotein
1395197at2	Fragmented	1:3392467-3393216	3392467	3393216	+	42.2	103	https://v10-1.orthodb.org/?query=1395197at2	Peptidase M50
1398618at2	Complete	1:2703923-2704492	2703923	2704492	+	143.3	128	https://v10-1.orthodb.org/?query=1398618at2	Ribosomal protein L6, alpha-beta domain
1419877at2	Fragmented	1:3232235-3232558	3232558	3232235	-	59.1	78	https://v10-1.orthodb.org/?query=1419877at2	glycerol-3-phosphate dehydrogenase
1456375at2	Complete	1:2702594-2703202	2702594	2703202	+	207.3	141	https://v10-1.orthodb.org/?query=1456375at2	Ribosomal protein L5
1470978at2	Fragmented	1:2680742-2681182	2680742	2681182	+	60.1	96	https://v10-1.orthodb.org/?query=1470978at2	Ribosomal protein L10
1490892at2	Complete	1:1040182-1040595	1040182	1040595	+	21.7	49	https://v10-1.orthodb.org/?query=1490892at2	16S rRNA (uracil(1498)-N(3))-methyltransferase
1491686at2	Complete	1:939366-939935	939935	939366	-	119.7	127	https://v10-1.orthodb.org/?query=1491686at2	Adenylate kinase
1497415at2	Complete	1:3389192-3389356	3389192	3389356	+	15.3	26	https://v10-1.orthodb.org/?query=1497415at2	Ribosome maturation factor RimM
1502854at2	Missing
1504821at2	Fragmented	1:2599497-2600261	2599497	2600261	+	118.0	158	https://v10-1.orthodb.org/?query=1504821at2	Riboflavin kinase
1505038at2	Missing
1540940at2	Missing
1567535at2	Fragmented	1:2706051-2706944	2706051	2706944	+	177.5	195	https://v10-1.orthodb.org/?query=1567535at2	Protein translocase subunit SecY
1572673at2	Fragmented	1:2697933-2698076	2697933	2698076	+	35.5	35	https://v10-1.orthodb.org/?query=1572673at2	50S ribosomal protein L4
