#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/data/wgs_assembly/hybrid_genome_assembly_guide/05_genome_assembly/03_hybrid/assembly.fasta	1	3228424	3229173	+	CfiA28	1-750/750	===============	0/0	100.00	99.20	card	JADDIJ010000014.1:17-767	Subclass B1 metallo-beta-lactamase CfiA28.	carbapenem
/data/wgs_assembly/hybrid_genome_assembly_guide/05_genome_assembly/03_hybrid/assembly.fasta	1	4324784	4325584	+	ErmF	1-801/801	===============	0/0	100.00	99.38	card	M17124.1:1181-1982	ErmF confers the MLSb phenotype.	lincosamide;macrolide;streptogramin;streptogramin_A;streptogramin_B
/data/wgs_assembly/hybrid_genome_assembly_guide/05_genome_assembly/03_hybrid/assembly.fasta	1	4325824	4327796	+	tet(Q)	1-1974/1974	========/======	1/1	99.95	90.02	card	Z21523.1:0-1974	Tet(Q) is a ribosomal protection protein. Its gene is associated with a conjugative transposon and has been found in both Gram-positive and Gram-negative bacteria.	tetracycline
/data/wgs_assembly/hybrid_genome_assembly_guide/05_genome_assembly/03_hybrid/assembly.fasta	1	5069777	5071750	-	tet(Q)	1-1974/1974	===============	0/0	100.00	97.37	card	Z21523.1:0-1974	Tet(Q) is a ribosomal protection protein. Its gene is associated with a conjugative transposon and has been found in both Gram-positive and Gram-negative bacteria.	tetracycline
/data/wgs_assembly/hybrid_genome_assembly_guide/05_genome_assembly/03_hybrid/assembly.fasta	5	4327	4839	+	nimE	1-513/513	===============	0/0	100.00	100.00	card	CP036548.1:4326-4839	nimE is a nitroimidazole reductase mainly found in Bacteroides fragilis that is associated with the deactivation of nitroimidazole antibiotics such as metronidazole. Minimum inhibitory concentrations observed in isolates vary greatly depending on species strain and nitroimidazole treatment.	nitroimidazole
