seq_name	n_genes	n_uscg	n_plasmid_hallmarks	n_virus_hallmarks	genetic_code	strand_switch_rate	coding_density	no_rbs_freq	sd_bacteroidetes_rbs_freq	sd_canonical_rbs_freq	tatata_rbs_freq	cc_marker_freq	cp_marker_freq	cv_marker_freq	pc_marker_freq	pp_marker_freq	pv_marker_freq	vc_marker_freq	vp_marker_freq	vv_marker_freq	c_marker_freq	p_marker_freq	v_marker_freq	median_c_spm	median_p_spm	median_v_spm	v_vs_c_score_logistic	v_vs_p_score_logistic	p_vs_c_score_logistic	gv_marker_freq	marker_enrichment_c	marker_enrichment_p	marker_enrichment_v
1	4378	75	13	37	11	0.2429	0.8899	0.0889	0.6345	0.0000	0.0000	0.0879	0.2643	0.0347	0.0226	0.0057	0.0016	0.0258	0.0126	0.0386	0.3869	0.0299	0.0770	0.8152	0.4409	0.0000	0.0000	0.0000	0.0000	0.0011	741.1031	-2220.1595	-4155.1376
2	72	0	3	0	11	0.1690	0.8721	0.1806	0.4028	0.0000	0.0000	0.0000	0.0417	0.0000	0.0556	0.1389	0.0556	0.0139	0.0694	0.0000	0.0417	0.2500	0.0833	0.0069	0.8934	0.0757	0.8732	0.0000	1.0000	0.0000	-46.6067	16.0116	-37.7219
3	59	3	0	1	11	0.2069	0.9303	0.0508	0.7458	0.0000	0.0000	0.1356	0.4068	0.0339	0.0169	0.0000	0.0000	0.0000	0.0000	0.0339	0.5763	0.0169	0.0339	0.8494	0.5036	0.0000	0.0000	0.0006	0.0000	0.0000	25.8477	-35.2035	-87.3919
4	9	0	0	0	11	0.2500	0.9413	0.2222	0.5556	0.0000	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6667	0.0000	0.0000	0.8324	0.5542	0.0000	0.0215	0.0906	0.1809	0.0000	3.0210	-3.0210	-18.0777
5	12	0	1	0	11	0.4545	0.7339	0.2500	0.4167	0.0000	0.0000	0.0000	0.1667	0.0000	0.0000	0.0833	0.1667	0.0000	0.0000	0.0000	0.1667	0.2500	0.0000	0.1972	0.9054	0.0547	0.3462	0.0548	0.9013	0.0000	-6.9817	3.3917	-10.4369
6	9	0	0	0	11	0.5000	0.8381	0.1111	0.4444	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4444	0.2222	0.0000	0.0000	0.0000	0.0000	0.6667	0.0000	0.0000	1.0000	0.0000	0.6336	0.0128	0.9925	0.0000	-12.4847	8.6771	-8.6980
7	2	0	0	0	11	0.0000	0.8892	1.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.7668	0.6418	0.0000	0.3598	0.3894	0.4684	0.0000	0.2530	-0.2530	-3.0902
8	2	0	0	1	11	1.0000	0.5634	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.5000	0.0000	0.0000	1.0000	0.7025	0.7025	0.5000	0.0000	-1.7183	-1.7183	1.7183
9	2	0	0	0	11	0.0000	0.9541	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000
