# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	1	195	-	LGJFBO_00001	-	-	-	-	-	-
contig_1	cds	366	995	-	LGJFBO_00002	344.0	5.8e-120	1.048	0.986	0.845	UniRef:UniRef50_G5SSJ9
contig_1	cds	998	1426	-	LGJFBO_00003	165.0	1.9e-51	1.092	0.994	0.581	UniRef:UniRef50_G5SSK0
contig_1	cds	1428	2210	-	LGJFBO_00004	290.0	1.5e-96	0.954	0.803	0.552	UniRef:UniRef50_S0F5W8
contig_1	cds	2772	3194	+	LGJFBO_00005	140.0	1.4e-41	0.921	0.872	0.527	UniRef:UniRef50_I9S2D2
contig_1	cds	3209	4447	+	LGJFBO_00006	705.0	6.2e-256	0.937	0.885	0.930	UniRef:UniRef50_F8X1U1
contig_1	cds	4465	6474	+	LGJFBO_00007	1035.0	0.0	1.0	0.904	0.753	UniRef:UniRef50_A0AA43KXS5
contig_1	cds	6518	7534	-	LGJFBO_00008	663.0	4.7e-242	1.0	1.0	0.991	UniRef:UniRef50_Q64WK6
contig_1	cds	7544	8245	-	LGJFBO_00009	453.0	2.3e-162	1.0	0.963	0.991	UniRef:UniRef50_B0MUM8
contig_1	cds	8711	8908	+	LGJFBO_00010	120.0	5.1e-36	0.969	0.818	0.968	UniRef:UniRef50_A0A416G5C3
contig_1	cds	8946	9146	-	LGJFBO_00011	136.0	2.2e-42	1.0	1.0	1.0	UniRef:UniRef50_A0A413ZSR1
contig_1	cds	9181	9591	-	LGJFBO_00012	190.0	1.6e-61	0.993	0.906	0.630	UniRef:UniRef50_Q8A270
contig_1	cds	9747	10373	-	LGJFBO_00013	409.0	4.2e-146	1.0	1.0	0.981	UniRef:UniRef50_R9HWY9
contig_1	cds	10383	10613	-	LGJFBO_00014	147.0	2.3e-46	1.0	1.0	1.0	UniRef:UniRef50_A0AAE8A671
contig_1	cds	11318	12640	+	LGJFBO_00015	-	-	-	-	-	-
contig_1	cds	12667	14754	+	LGJFBO_00016	817.0	1.7e-290	1.052	0.987	0.577	UniRef:UniRef50_A0A174F5V9
contig_1	ncRNA	14770	14850	+	LGJFBO_00017	96.3	2.5e-17	-	-	-	RFAM:RF04181
contig_1	cds	14852	15370	-	LGJFBO_00018	349.0	5.6e-123	1.0	0.873	0.965	UniRef:UniRef50_A0A6F9ZI78
contig_1	cds	15779	17851	-	LGJFBO_00019	1264.0	0.0	0.984	1.015	0.934	UniRef:UniRef50_A0A415IP04
contig_1	cds	17814	18173	-	LGJFBO_00020	200.0	4.8e-66	1.0	0.908	0.832	UniRef:UniRef50_B0NQ43
contig_1	cds	18278	19180	-	LGJFBO_00021	590.0	2.3e-214	1.0	1.0	0.973	UniRef:UniRef50_I9SE01
contig_1	cds	19212	20054	-	LGJFBO_00022	564.0	1.1e-204	1.0	0.969	1.0	UniRef:UniRef50_B0MUS0
contig_1	cds	20083	20541	-	LGJFBO_00023	296.0	5.9e-103	0.993	0.987	0.987	UniRef:UniRef50_Q8A7R2
contig_1	cds	20564	21031	-	LGJFBO_00024	277.0	3.8e-95	1.0	0.901	0.935	UniRef:UniRef50_A0A0F5IKB8
contig_1	cds	21094	21672	-	LGJFBO_00025	303.0	3.5e-104	1.0	0.928	0.807	UniRef:UniRef50_F7LMI2
contig_1	cds	21711	22304	-	LGJFBO_00026	353.0	5.4e-124	1.0	0.891	0.888	UniRef:UniRef50_A0A414KX30
contig_1	cds	22323	22790	-	LGJFBO_00027	301.0	1.3e-104	1.0	0.901	1.0	UniRef:UniRef50_A0A1C7H7W2
contig_1	cds	22866	23258	-	LGJFBO_00028	174.0	1.3e-55	0.992	0.963	0.628	UniRef:UniRef50_F0R4A0
contig_1	cds	23338	23721	-	LGJFBO_00029	122.0	6.3e-35	0.843	0.849	0.570	UniRef:UniRef50_C9LE99
contig_1	cds	23660	24064	-	LGJFBO_00030	142.0	1.4e-42	0.985	0.898	0.523	UniRef:UniRef50_A0A416W928
contig_1	cds	24143	24730	-	LGJFBO_00031	218.0	1.3e-70	1.005	0.975	0.510	UniRef:UniRef50_A0A1Y4E429
contig_1	cds	24830	25351	-	LGJFBO_00032	348.0	7.2e-123	1.0	1.0	1.0	UniRef:UniRef50_K9E6K3
contig_1	cds	25361	26062	-	LGJFBO_00033	264.0	2.4e-87	1.069	0.919	0.526	UniRef:UniRef50_F0R8K4
contig_1	cds	26135	26578	-	LGJFBO_00034	302.0	1.0e-105	1.0	1.0	1.0	UniRef:UniRef50_A0A0F5IK84
contig_1	cds	26661	27251	-	LGJFBO_00035	260.0	1.9e-87	1.005	0.975	0.645	UniRef:UniRef50_R9H4T6
contig_1	cds	27304	27726	-	LGJFBO_00036	269.0	7.8e-93	1.0	1.0	0.957	UniRef:UniRef50_F0R4C4
contig_1	cds	27754	28272	-	LGJFBO_00037	331.0	2.4e-116	1.0	1.0	0.994	UniRef:UniRef50_A0A1C7H7W2
contig_1	cds	28269	28631	-	LGJFBO_00038	232.0	1.9e-78	0.983	0.861	0.958	UniRef:UniRef50_F9DHP1
contig_1	cds	28702	29076	-	LGJFBO_00039	169.0	1.9e-53	1.0	0.939	0.653	UniRef:UniRef50_A0A1C7H339
contig_1	cds	29149	30255	-	LGJFBO_00040	585.0	9.0e-210	0.995	0.938	0.798	UniRef:UniRef50_A0A0F5ITJ9
contig_1	cds	30351	30965	-	LGJFBO_00041	382.0	2.1e-135	0.951	0.902	0.985	UniRef:UniRef50_I9AJB1
contig_1	cds	31316	31990	+	LGJFBO_00042	284.0	1.3e-96	0.835	0.989	0.749	UniRef:UniRef50_R7A944
contig_1	cds	32100	33239	+	LGJFBO_00043	533.0	1.4e-188	1.008	0.912	0.668	UniRef:UniRef50_U6REM3
contig_1	cds	33429	36002	-	LGJFBO_00044	978.0	0.0	1.002	0.966	0.573	UniRef:UniRef50_K6A6U6
contig_1	cds	36054	36611	-	LGJFBO_00045	-	-	-	-	-	-
contig_1	cds	36674	38263	+	LGJFBO_00046	1069.0	0.0	1.0	0.960	0.953	UniRef:UniRef50_K0WZL6
contig_1	cds	38343	38816	-	LGJFBO_00047	202.0	2.4e-65	1.0	0.887	0.694	UniRef:UniRef50_E6SPY4
contig_1	cds	38858	40195	-	LGJFBO_00048	665.0	1.7e-239	0.966	0.979	0.826	UniRef:UniRef50_E6SPY3
contig_1	cds	40303	41103	-	LGJFBO_00049	296.0	5.2e-99	0.981	0.873	0.605	UniRef:UniRef50_A0A174JMC1
contig_1	cds	41146	43518	-	LGJFBO_00050	991.0	0.0	0.978	0.927	0.620	UniRef:UniRef50_I8V4J1
contig_1	cds	43626	44063	+	LGJFBO_00051	188.0	1.7e-60	0.938	0.861	0.640	UniRef:UniRef50_Q8ABF9
contig_1	cds	44096	44914	+	LGJFBO_00052	358.0	1.2e-123	0.926	0.869	0.627	UniRef:UniRef50_A0A174V3C2
contig_1	cds	45043	45864	-	LGJFBO_00053	548.0	1.9e-198	1.0	0.951	0.996	UniRef:UniRef50_Q64WH1
contig_1	cds	46033	47319	+	LGJFBO_00054	753.0	1.1e-273	1.0	0.877	0.876	UniRef:UniRef50_A0A0L0LTQ6
contig_1	cds	47323	48384	+	LGJFBO_00055	428.0	2.8e-148	0.997	0.924	0.585	UniRef:UniRef50_A0A7J0AA02
contig_1	cds	48416	49093	-	LGJFBO_00056	201.0	5.5e-63	1.0	0.915	0.502	UniRef:UniRef50_G6AGM3
contig_1	cds	49197	49787	-	LGJFBO_00057	250.0	3.6e-83	1.0	0.875	0.709	UniRef:UniRef50_K9EP97
contig_1	cds	49856	51286	-	LGJFBO_00058	606.0	4.5e-214	0.998	0.890	0.648	UniRef:UniRef50_G6B0V5
contig_1	cds	51311	52165	-	LGJFBO_00059	492.0	1.6e-175	1.0	0.869	0.940	UniRef:UniRef50_Q8ABF1
contig_1	cds	52195	52632	-	LGJFBO_00060	199.0	8.2e-65	0.979	0.922	0.648	UniRef:UniRef50_A6L6Y5
contig_1	cds	52664	53839	-	LGJFBO_00061	597.0	9.9e-214	1.0	0.947	0.754	UniRef:UniRef50_S3YTB3
contig_1	cds	53864	56224	-	LGJFBO_00062	873.0	1.8e-309	1.009	0.932	0.541	UniRef:UniRef50_A0A1M6HY55
contig_1	cds	56244	61832	-	LGJFBO_00063	2827.0	0.0	1.015	0.992	0.737	UniRef:UniRef50_E5C3Q6
contig_1	cds	62158	63453	-	LGJFBO_00064	422.0	1.9e-143	1.014	0.952	0.515	UniRef:UniRef50_R9IAC8
contig_1	cds	63539	66061	+	LGJFBO_00065	946.0	0.0	1.042	0.957	0.568	UniRef:UniRef50_Q7MV19
contig_1	cds	66058	66270	+	LGJFBO_00066	103.0	2.0e-29	0.986	0.958	0.681	UniRef:UniRef50_A0A926F6K9
contig_1	tRNA	66322	66393	+	LGJFBO_00067	60.2	-	-	-	-	-
contig_1	cds	66715	67800	+	LGJFBO_00068	624.0	1.5e-225	0.895	0.868	0.950	UniRef:UniRef50_A0A0I9RVV6
contig_1	cds	67951	68703	+	LGJFBO_00069	379.0	3.3e-132	1.128	1.004	0.667	UniRef:UniRef50_C8WK25
contig_1	cds	68833	69816	-	LGJFBO_00070	-	-	-	-	-	-
contig_1	cds	69988	71862	-	LGJFBO_00071	-	-	-	-	-	-
contig_1	cds	71886	73145	+	LGJFBO_00072	712.0	1.2e-258	1.041	1.012	0.828	UniRef:UniRef50_A0A081TTR8
contig_1	cds	73142	74155	+	LGJFBO_00073	583.0	2.2e-210	1.0	1.0	0.855	UniRef:UniRef50_A0A015TVY0
contig_1	cds	74269	75276	+	LGJFBO_00074	678.0	3.0e-248	1.0	1.0	0.988	UniRef:UniRef50_Q64WF1
contig_1	cds	75301	75474	-	LGJFBO_00075	-	-	-	-	-	-
contig_1	cds	75588	75752	+	LGJFBO_00076	-	-	-	-	-	-
