seq_name	source_seq	start	end	length	n_genes	v_vs_c_score	in_seq_edge	integrases
1|provirus_897862_924541	1	897862	924541	26680	27	12.5239	False	1|provirus_897862_924541_732
1|provirus_1725368_1744866	1	1725368	1744866	19499	17	8.0533	False	1|provirus_1725368_1744866_1446;1|provirus_1725368_1744866_1447;1|provirus_1725368_1744866_1454;1|provirus_1725368_1744866_1455
1|provirus_1890317_1933434	1	1890317	1933434	43118	59	58.3227	False	1|provirus_1890317_1933434_1595;1|provirus_1890317_1933434_1637;1|provirus_1890317_1933434_1638
1|provirus_2122375_2140479	1	2122375	2140479	18105	19	8.5802	False	1|provirus_2122375_2140479_1802
