#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1:2789465-2789656    -             64 984717at2            -            224   1.7e-21   76.1   0.2   1   1   1.8e-24     2e-21   75.9   0.2     1    51     6    57     6    61 0.93 1_6051 # 2789465 # 2789656 # 1 # ID=1_6051;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=10bp;gc_cont=0.422
1:2789650-2790186    -            179 984717at2            -            224   4.2e-17   61.8   5.3   1   2   1.2e-05     0.013   14.4   0.6    65   124    15    82     4    92 0.72 1_6052 # 2789650 # 2790186 # 1 # ID=1_6052;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.412
1:2789650-2790186    -            179 984717at2            -            224   4.2e-17   61.8   5.3   2   2   6.5e-16   7.1e-13   48.0   0.4   112   176    97   177    84   178 0.80 1_6052 # 2789650 # 2790186 # 1 # ID=1_6052;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.412
1:2790406-2790846    -            147 984717at2            -            224   1.4e-15   56.8   0.6   1   1   3.1e-18   3.4e-15   55.6   0.6     2   104     5   124     4   130 0.71 1_6053 # 2790406 # 2790846 # 1 # ID=1_6053;partial=00;start_type=ATG;rbs_motif=AAAAAA;rbs_spacer=15bp;gc_cont=0.456
1:3612390-3613244    -            285 984717at2            -            224   5.9e-14   51.5   1.3   1   1   1.9e-16   2.1e-13   49.7   1.2     2   106   125   246   124   263 0.72 1_7881 # 3612390 # 3613244 # -1 # ID=1_7881;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.425
1:2790940-2791116    -             59 984717at2            -            224   3.3e-11   42.5   0.0   1   1   3.2e-14   3.5e-11   42.4   0.0     4    59     1    57     1    58 0.92 1_6054 # 2790940 # 2791116 # 1 # ID=1_6054;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.412
1:3156540-3157088    -            183 984717at2            -            224   5.9e-10   38.4   0.0   1   1     8e-13   8.8e-10   37.9   0.0     2   106    12   130    11   139 0.71 1_6872 # 3156540 # 3157088 # -1 # ID=1_6872;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.497
1:1497399-1498208    -            270 984717at2            -            224   1.6e-08   33.7   1.5   1   2      0.77   8.4e+02   -1.3   0.1    81   118     5    42     1    53 0.76 1_3297 # 1497399 # 1498208 # -1 # ID=1_3297;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.478
1:1497399-1498208    -            270 984717at2            -            224   1.6e-08   33.7   1.5   2   2   3.5e-11   3.8e-08   32.5   0.1     2    84   130   217   129   257 0.73 1_3297 # 1497399 # 1498208 # -1 # ID=1_3297;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.478
1:938322-938807      -            162 984717at2            -            224   1.7e-06   27.1   0.0   1   1   5.7e-09   6.2e-06   25.3   0.0     2    60     7    66     6   137 0.76 1_2075 # 938322 # 938807 # -1 # ID=1_2075;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.449
1:2252178-2252861    -            228 984717at2            -            224    0.0013   17.7   0.0   1   1     3e-06    0.0032   16.4   0.0     3    23     6    26     4    33 0.89 1_4930 # 2252178 # 2252861 # -1 # ID=1_4930;partial=00;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=12bp;gc_cont=0.439
