#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1:4597755-4599029    -            425 932854at2            -           1620  2.4e-176  586.7   1.5   1   1  3.6e-179  2.7e-176  586.6   1.5     2   413     1   422     1   424 0.98 1_3880 # 4597755 # 4599029 # -1 # ID=1_3880;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=13bp;gc_cont=0.560
1:2894413-2898117    -           1235 932854at2            -           1620   1.1e-53  180.2   0.2   1   3   6.6e-05      0.05    8.9   0.1   572   667   105   198    56   210 0.79 1_2466 # 2894413 # 2898117 # 1 # ID=1_2466;partial=00;start_type=ATG;rbs_motif=AAAA;rbs_spacer=14bp;gc_cont=0.499
1:2894413-2898117    -           1235 932854at2            -           1620   1.1e-53  180.2   0.2   2   3   1.7e-33   1.3e-30  103.7   0.0   733  1239   242   777   234   842 0.79 1_2466 # 2894413 # 2898117 # 1 # ID=1_2466;partial=00;start_type=ATG;rbs_motif=AAAA;rbs_spacer=14bp;gc_cont=0.499
1:2894413-2898117    -           1235 932854at2            -           1620   1.1e-53  180.2   0.2   3   3   1.9e-21   1.4e-18   63.8   0.0  1415  1594  1023  1196   992  1205 0.87 1_2466 # 2894413 # 2898117 # 1 # ID=1_2466;partial=00;start_type=ATG;rbs_motif=AAAA;rbs_spacer=14bp;gc_cont=0.499
1:1623767-1624933    -            389 932854at2            -           1620   1.2e-07   27.6   0.1   1   1   1.9e-10   1.4e-07   27.3   0.1     3   186     3   188     1   207 0.84 1_1343 # 1623767 # 1624933 # 1 # ID=1_1343;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=11bp;gc_cont=0.461
1:3906249-3909470    -           1074 932854at2            -           1620   8.7e-05   18.1   0.8   1   2   7.1e-06    0.0054   12.1   0.2    84   190   108   212   102   228 0.84 1_3308 # 3906249 # 3909470 # -1 # ID=1_3308;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=5bp;gc_cont=0.457
1:3906249-3909470    -           1074 932854at2            -           1620   8.7e-05   18.1   0.8   2   2    0.0018       1.3    4.2   0.0   109   186   679   755   636   771 0.94 1_3308 # 3906249 # 3909470 # -1 # ID=1_3308;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=5bp;gc_cont=0.457
1:2265809-2269039    -           1077 932854at2            -           1620     0.013   10.9   0.2   1   2     0.004         3    3.0   0.2   110   187   135   209   105   220 0.90 1_1936 # 2265809 # 2269039 # -1 # ID=1_1936;partial=00;start_type=ATG;rbs_motif=AAAA;rbs_spacer=11bp;gc_cont=0.508
1:2265809-2269039    -           1077 932854at2            -           1620     0.013   10.9   0.2   2   2   0.00067      0.51    5.6   0.0    52   186   627   760   602   779 0.82 1_1936 # 2265809 # 2269039 # -1 # ID=1_1936;partial=00;start_type=ATG;rbs_motif=AAAA;rbs_spacer=11bp;gc_cont=0.508
1:1006935-1008446    -            504 932854at2            -           1620     0.018   10.4   0.0   1   1   3.5e-05     0.026    9.9   0.0    82   186    94   203    88   205 0.83 1_816 # 1006935 # 1008446 # 1 # ID=1_816;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.493
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data/wgs_assembly/hybrid_genome_assembly_guide/busco_downloads/lineages/bacteria_odb10/hmms/932854at2.hmm
# Target file:     data/wgs_assembly/hybrid_genome_assembly_guide/06_genome_quality_assessment/busco/hybrid/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout data/wgs_assembly/hybrid_genome_assembly_guide/06_genome_quality_assessment/busco/hybrid/run_bacteria_odb10/hmmer_output/932854at2.out --cpu 1 /data/wgs_assembly/hybrid_genome_assembly_guide/busco_downloads/lineages/bacteria_odb10/hmms/932854at2.hmm data/wgs_assembly/hybrid_genome_assembly_guide/06_genome_quality_assessment/busco/hybrid/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data/wgs_assembly/hybrid_genome_assembly_guide
# Date:            Sun Dec 28 03:00:48 2025
# [ok]
