contig	length	mean_depth_short	sd_depth_short	q25_depth_short	q75_depth_short	plasmid_copy_number_short	mean_depth_long	sd_depth_long	q25_depth_long	q75_depth_long	plasmid_copy_number_long	circularity	PLSDB_hit	NUCCORE_ACC	mash_distance	mash_pval	mash_matching_hashes	NUCCORE_UID	NUCCORE_Description	NUCCORE_CreateDate	NUCCORE_Topology	NUCCORE_Completeness	NUCCORE_TaxonID	NUCCORE_Genome	NUCCORE_Length	NUCCORE_DuplicatedEntry	NUCCORE_Source	NUCCORE_BiosampleID	BIOSAMPLE_UID	BIOSAMPLE_ACC	BIOSAMPLE_Location	BIOSAMPLE_Coordinates	BIOSAMPLE_IsolationSource	BIOSAMPLE_Host	BIOSAMPLE_CollectionDate	BIOSAMPLE_HostDisease	BIOSAMPLE_SampleType	ASSEMBLY_UID	ASSEMBLY_ACC	ASSEMBLY_Status	ASSEMBLY_coverage	ASSEMBLY_SeqReleaseDate	ASSEMBLY_SubmissionDate	ASSEMBLY_Lastest	ASSEMBLY_BiosampleID	TAXONOMY_superkingdom	TAXONOMY_phylum	TAXONOMY_class	TAXONOMY_order	TAXONOMY_family	TAXONOMY_genus	TAXONOMY_species	TAXONOMY_strain	TAXONOMY_UID	TAXONOMY_taxon_rank	TAXONOMY_taxon_name	TAXONOMY_taxon_lineage	TAXONOMY_superkingdom_id	TAXONOMY_phylum_id	TAXONOMY_class_id	TAXONOMY_order_id	TAXONOMY_family_id	TAXONOMY_genus_id	TAXONOMY_species_id	TAXONOMY_strain_id	has_biosample	has_assembly	has_location	rMLST_hits	rMLST_hitscount	inclusions	NUCCORE_GC	Length	BIOSAMPLE_Host_processed	BIOSAMPLE_Host_processed_source	BIOSAMPLE_Host_label	BIOSAMPLE_HostDisease_processed	loc_lat	loc_lng	loc_parsed	D1	D2	plasmidfinder	pmlst
chromosome	3000000	0.0	0.0	0	0		0.0	0.0	0	0		circular																																																																								
1	5235315	74.86	17.67	63	86	inf	23.84	9.22	17	30	inf	not_circular																																																																								
10	176	3.84	1.6	3	5	inf	0.0	0.0	0	0		not_circular																																																																								
2	78085	173.32	44.75	143	205	inf	31.39	5.17	28	34	inf	circular	Yes	NZ_CP036547.1	0.0	0	1000/1000	1655061429.0	Bacteroides fragilis strain DCMSKEJBY0001B plasmid pBFS01_1, complete sequence	2019-03-04	circular	complete	817.0	plasmid	78085.0	CP036547.1	RefSeq	SAMN02730069	2730069.0	SAMN02730069	Denmark: Aarhus	56.1917 N 10.1722 E	blood	Homo sapiens	2013-08-13	primary bacterial infectious disease		2876941.0	GCF_000710365.2	Complete Genome	200	2019-05-15	2019-05-15	True	SAMN02730069	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_fragilis		817.0	species	['Bacteria', 'Bacteroidota', 'Bacteroidia', 'Bacteroidales', 'Bacteroidaceae', 'Bacteroides', 'Bacteroides fragilis', '']	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_fragilis;	2.0	976.0	200643.0	171549.0	815.0	816.0	817.0		True	True	True		0.0		0.3603637062175834	78085.0	Homo sapiens	BIOSAMPLE_Host	Homo sapiens	primary bacterial infectious disease	56.1917	10.1722		-10.810248	2.998936		
3	70643	79.34	17.62	67	91	inf	23.75	7.56	17	30	inf	not_circular																																																																								
4	10571	81.16	19.75	67	92	inf	20.87	2.99	19	23	inf	not_circular																																																																								
5	8331	1601.95	255.02	1431	1773	inf	194.67	13.96	189	203	inf	circular	Yes	NZ_CP040631.1	0.0	0	1000/1000	1897351827.0	Bacteroides sp. PHL 2737 plasmid unnamed1, complete sequence	2019-05-23	circular	complete	2162637.0	plasmid	8331.0	CP040631.1	RefSeq	SAMN08875372	8875372.0	SAMN08875372	Canada: Ontario	43.6532 N 79.3832 W	Abdominal ascites fluid	Homo sapiens	2018-01-01			7957901.0	GCF_004115325.2	Complete Genome	1	2020-08-27	2020-08-27	True	SAMN08875372	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_sp._PHL_2737		2162637.0	species	['Bacteria', 'Bacteroidota', 'Bacteroidia', 'Bacteroidales', 'Bacteroidaceae', 'Bacteroides', 'Bacteroides sp. PHL 2737', '']	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_sp._PHL_2737;	2.0	976.0	200643.0	171549.0	815.0	816.0	2162637.0		True	True	True		0.0		0.411715280278478	8331.0	Homo sapiens	BIOSAMPLE_Host	Homo sapiens		43.6532	-79.3832		-10.937823	3.217472		
6	5595	1722.88	242.43	1567	1893	inf	160.85	14.12	154	171	inf	circular	Yes	NZ_CP036549.1	0.000167546	0	993/1000	1655061436.0	Bacteroides fragilis strain DCMSKEJBY0001B plasmid pBFS01_3, complete sequence	2019-03-04	circular	complete	817.0	plasmid	5595.0	CP036549.1	RefSeq	SAMN02730069	2730069.0	SAMN02730069	Denmark: Aarhus	56.1917 N 10.1722 E	blood	Homo sapiens	2013-08-13	primary bacterial infectious disease		2876941.0	GCF_000710365.2	Complete Genome	200	2019-05-15	2019-05-15	True	SAMN02730069	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_fragilis		817.0	species	['Bacteria', 'Bacteroidota', 'Bacteroidia', 'Bacteroidales', 'Bacteroidaceae', 'Bacteroides', 'Bacteroides fragilis', '']	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_fragilis;	2.0	976.0	200643.0	171549.0	815.0	816.0	817.0		True	True	True		0.0		0.3962466487935657	5595.0	Homo sapiens	BIOSAMPLE_Host	Homo sapiens	primary bacterial infectious disease	56.1917	10.1722		12.089291	-5.784022		
7	4892	90.02	20.36	74	104	inf	16.61	2.12	15	19	inf	not_circular																																																																								
8	2428	51.49	12.78	43	60	inf	18.19	2.34	16	20	inf	not_circular																																																																								
