#Annotated with Bakta v1.11.4, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	734	1048	+	LLMDKN_000001	12.2	9.8		
contig_1	1027	1185	+	LLMDKN_000002	6.2	6.5		
contig_1	1289	1486	+	LLMDKN_000003	7.7	8.9	PF13391.12|HNH_2	PFAM:PF13391.12
contig_1	1539	1724	+	LLMDKN_000004	7.3	10.3		
contig_1	2101	2235	+	LLMDKN_000005	5.0	9.2		
contig_1	2753	3019	+	LLMDKN_000006	10.6	9.5	PF13102.12|Phage_int_SAM_5	PFAM:PF13102.12
contig_1	4375	4659	-	LLMDKN_000008	11.3	9.6		
contig_1	4721	4927	-	LLMDKN_000009	8.2	10.6		
contig_1	5062	5247	-	LLMDKN_000010	7.3	10.0		
contig_1	5326	5766	-	LLMDKN_000011	17.8	9.5		
contig_1	6188	6406	+	LLMDKN_000012	8.4	9.5		
contig_1	6351	6800	+	LLMDKN_000013	17.0	5.4		
contig_1	7303	7506	+	LLMDKN_000014	7.4	5.0		
contig_1	7589	7882	-	LLMDKN_000015	11.6	5.3		
contig_1	8002	8496	-	LLMDKN_000016	19.2	8.5		
contig_1	9659	10096	+	LLMDKN_000017	17.0	8.8		
contig_1	10086	10232	+	LLMDKN_000018	5.6	7.9		
contig_1	10229	10390	+	LLMDKN_000019	6.2	9.7		
contig_1	10446	10814	+	LLMDKN_000020	14.1	9.6		
contig_1	11376	12017	-	LLMDKN_000021	23.9	5.1	PF10412.15|TrwB_AAD_bind	PFAM:PF10412.15
contig_1	11962	12213	-	LLMDKN_000022	9.6	9.7		
contig_1	12218	12646	-	LLMDKN_000023	16.1	9.6		
contig_1	12733	12963	-	LLMDKN_000024	8.0	7.7		
contig_1	13096	13341	-	LLMDKN_000025	8.4	4.8		
contig_1	13413	14288	-	LLMDKN_000026	32.3	9.5		
contig_1	14327	15100	-	LLMDKN_000027	29.3	5.5		
contig_1	15039	15212	-	LLMDKN_000028	6.5	10.0		
contig_1	15366	15728	-	LLMDKN_000029	12.8	5.0	PF18814.6|PBECR5	PFAM:PF18814.6
contig_1	15682	16038	-	LLMDKN_000030	13.4	9.7		
contig_1	16276	16431	-	LLMDKN_000031	5.3	10.0		
contig_1	16459	17664	-	LLMDKN_000032	44.6	9.8		
contig_1	17670	17900	-	LLMDKN_000033	7.8	8.7		
contig_1	17875	18006	-	LLMDKN_000034	4.9	4.2		
contig_1	18295	18438	-	LLMDKN_000035	5.6	6.5		
contig_1	18546	18863	+	LLMDKN_000036	12.4	9.9	PF04542.20|Sigma70_r2	PFAM:PF04542.20
contig_1	19236	19430	+	LLMDKN_000037	7.8	4.3		
contig_1	19613	19780	+	LLMDKN_000038	6.4	9.0		
contig_1	19918	20088	+	LLMDKN_000039	7.1	9.0		
contig_1	20027	20218	+	LLMDKN_000040	7.5	9.2	PF16344.10|FecR_C	PFAM:PF16344.10
contig_1	20513	21274	+	LLMDKN_000041	26.9	5.0	PF07715.20|Plug, PF13620.12|CarboxypepD_reg, PF13715.12|CarbopepD_reg_2	PFAM:PF07715.20, PFAM:PF13620.12, PFAM:PF13715.12
contig_1	21271	21912	+	LLMDKN_000042	23.9	8.6		
contig_1	21965	22522	+	LLMDKN_000043	20.9	6.9		
contig_1	22573	23181	+	LLMDKN_000044	22.9	7.8	PF00593.30|TonB_dep_Rec_b-barrel	PFAM:PF00593.30
contig_1	23175	23342	+	LLMDKN_000045	6.5	6.5		
contig_1	23287	23724	+	LLMDKN_000046	16.4	8.9		
contig_1	23852	24019	+	LLMDKN_000047	5.9	4.1		
contig_1	25665	25949	+	LLMDKN_000049	10.9	7.8	PF14587.12|Glyco_hydr_30_2	PFAM:PF14587.12
contig_1	25939	26166	+	LLMDKN_000050	8.4	9.0		
contig_1	26236	26355	+	LLMDKN_000051	4.6	6.5		
contig_1	26397	27008	+	LLMDKN_000052	22.8	6.9	PF14587.12|Glyco_hydr_30_2	PFAM:PF14587.12
contig_1	27511	27789	+	LLMDKN_000053	10.7	5.3		
contig_1	29551	29736	+	LLMDKN_000055	7.0	10.0		
contig_1	29800	30153	+	LLMDKN_000056	13.6	9.6		
contig_1	30228	30425	-	LLMDKN_000057	7.5	6.5		
contig_1	30519	30788	-	LLMDKN_000058	10.7	6.1		
contig_1	30967	31350	-	LLMDKN_000059	15.8	9.7		
contig_1	31810	32025	+	LLMDKN_000060	7.9	10.6	PF01656.29|CbiA, PF13614.12|AAA_31	PFAM:PF01656.29, PFAM:PF13614.12
contig_1	32001	32165	+	LLMDKN_000061	6.0	5.2		
contig_1	32220	32408	+	LLMDKN_000062	7.3	9.9		
contig_1	32414	32581	+	LLMDKN_000063	6.1	6.1		
contig_1	32510	32908	-	LLMDKN_000064	15.2	9.4		
contig_1	33261	33515	+	LLMDKN_000065	9.4	5.6		
contig_1	33488	33601	+	LLMDKN_000066	3.7	8.5		
contig_1	33617	34339	+	LLMDKN_000067	27.9	4.6		
contig_1	34559	34786	+	LLMDKN_000068	8.9	6.7		
contig_1	35314	35466	+	LLMDKN_000069	5.4	4.5		
contig_1	35681	35962	-	LLMDKN_000070	10.2	5.8		
contig_1	35976	36410	-	LLMDKN_000071	15.9	6.1	PF18998.6|Flg_new_2	PFAM:PF18998.6
contig_1	36349	36573	-	LLMDKN_000072	7.8	4.7		
contig_1	36747	37001	-	LLMDKN_000073	9.8	10.3	PF08279.18|HTH_11	PFAM:PF08279.18
contig_1	37006	37272	-	LLMDKN_000074	10.3	7.7		
contig_1	37556	37738	+	LLMDKN_000075	6.4	4.3		
contig_1	37800	37988	-	LLMDKN_000076	7.5	10.1		
contig_1	37963	38385	-	LLMDKN_000077	16.3	10.2		
contig_1	38809	38949	-	LLMDKN_000078	5.5	9.6		
contig_1	39574	39684	-	LLMDKN_000079	4.3	9.3		
contig_1	39681	39962	-	LLMDKN_000080	10.5	9.3		
contig_1	41154	41666	-	LLMDKN_000082	19.6	6.5		
contig_1	41790	42134	-	LLMDKN_000083	13.3	8.5		
contig_1	42176	42361	-	LLMDKN_000084	6.5	4.1		
contig_1	42376	42585	-	LLMDKN_000085	7.4	4.8		
contig_1	42591	42908	-	LLMDKN_000086	11.9	10.8		
contig_1	42847	43080	-	LLMDKN_000087	8.5	10.1		
contig_1	43162	43806	+	LLMDKN_000088	23.9	8.6		
contig_1	43766	44041	-	LLMDKN_000089	11.0	6.4		
contig_1	44077	44538	-	LLMDKN_000090	17.7	8.7		
contig_1	44535	44696	-	LLMDKN_000091	6.4	5.4		
contig_1	44719	44913	-	LLMDKN_000092	7.4	10.0		
contig_1	45082	45171	-	LLMDKN_000093	3.5	6.0		
contig_1	45149	45325	-	LLMDKN_000094	6.6	9.3		
contig_1	45805	46605	+	LLMDKN_000095	29.3	9.7		
contig_1	46488	46793	-	LLMDKN_000096	11.5	6.1		
