seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
6	5595	No terminal repeats	9	11	0.9952	NA	0	8.6771	NA	NA
5	8331	No terminal repeats	12	11	0.9936	NA	1	3.3917	MOBB	NF000261
2	78085	No terminal repeats	72	11	0.9854	NA	3	16.0116	MOBB	NA
