#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
4:118852-120126      -            425 932854at2            -           1620  2.4e-176  586.7   1.5   1   1  3.6e-179  2.7e-176  586.6   1.5     2   413     1   422     1   424 0.98 4_107 # 118852 # 120126 # -1 # ID=4_107;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=13bp;gc_cont=0.560
2:389153-392857      -           1235 932854at2            -           1620   1.1e-53  180.2   0.2   1   3   6.6e-05      0.05    8.9   0.1   572   667   105   198    56   210 0.79 2_320 # 389153 # 392857 # 1 # ID=2_320;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.499
2:389153-392857      -           1235 932854at2            -           1620   1.1e-53  180.2   0.2   2   3   1.7e-33   1.3e-30  103.7   0.0   733  1239   242   777   234   842 0.79 2_320 # 389153 # 392857 # 1 # ID=2_320;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.499
2:389153-392857      -           1235 932854at2            -           1620   1.1e-53  180.2   0.2   3   3   1.9e-21   1.4e-18   63.8   0.0  1415  1594  1023  1196   992  1205 0.87 2_320 # 389153 # 392857 # 1 # ID=2_320;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.499
16:919-2085          -            389 932854at2            -           1620   1.2e-07   27.6   0.1   1   1   1.9e-10   1.4e-07   27.3   0.1     3   186     3   188     1   207 0.84 16_2 # 919 # 2085 # 1 # ID=16_2;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=11bp;gc_cont=0.461
12:75049-78270       -           1074 932854at2            -           1620   8.7e-05   18.1   0.8   1   2   7.1e-06    0.0054   12.1   0.2    84   190   108   212   102   228 0.84 12_63 # 75049 # 78270 # -1 # ID=12_63;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=5bp;gc_cont=0.457
12:75049-78270       -           1074 932854at2            -           1620   8.7e-05   18.1   0.8   2   2    0.0018       1.3    4.2   0.0   109   186   679   755   636   771 0.94 12_63 # 75049 # 78270 # -1 # ID=12_63;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=5bp;gc_cont=0.457
9:37222-40452        -           1077 932854at2            -           1620     0.013   10.9   0.2   1   2     0.004         3    3.0   0.2   110   187   135   209   105   220 0.90 9_33 # 37222 # 40452 # -1 # ID=9_33;partial=00;start_type=ATG;rbs_motif=AAAA;rbs_spacer=11bp;gc_cont=0.508
9:37222-40452        -           1077 932854at2            -           1620     0.013   10.9   0.2   2   2   0.00067      0.51    5.6   0.0    52   186   627   760   602   779 0.82 9_33 # 37222 # 40452 # -1 # ID=9_33;partial=00;start_type=ATG;rbs_motif=AAAA;rbs_spacer=11bp;gc_cont=0.508
1:281227-282738      -            504 932854at2            -           1620     0.018   10.4   0.0   1   1   3.5e-05     0.026    9.9   0.0    82   186    94   203    88   205 0.83 1_251 # 281227 # 282738 # 1 # ID=1_251;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.493
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data/wgs_assembly/hybrid_genome_assembly_guide/busco_downloads/lineages/bacteria_odb10/hmms/932854at2.hmm
# Target file:     data/wgs_assembly/hybrid_genome_assembly_guide/06_genome_quality_assessment/busco/short_only/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout data/wgs_assembly/hybrid_genome_assembly_guide/06_genome_quality_assessment/busco/short_only/run_bacteria_odb10/hmmer_output/932854at2.out --cpu 1 /data/wgs_assembly/hybrid_genome_assembly_guide/busco_downloads/lineages/bacteria_odb10/hmms/932854at2.hmm data/wgs_assembly/hybrid_genome_assembly_guide/06_genome_quality_assessment/busco/short_only/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data/wgs_assembly/hybrid_genome_assembly_guide
# Date:            Sun Dec 28 03:00:04 2025
# [ok]
